Neuron,Start Time,Amplitude,Peak,Decay Time,Rise Time,Latency,Frequency
n1,1,0.5347666666666666,0.634,0,19,19,0.36666666666666664
n1,6,0.4358666666666667,0.634,0,14,14,0.5
n1,11,0.35830000000000006,0.634,0,9,9,0.6666666666666666
n1,16,0.3046,0.634,0,7,7,0.6
n1,21,0.27756666666666663,0.634,0,2,2,0.5333333333333333
n1,26,0.3117,0.634,15,0,15,0.5333333333333333
n1,31,0.25320000000000004,0.513,10,0,10,0.5
n1,36,0.24613333333333334,0.452,5,0,5,0.4666666666666667
n1,41,0.1808,0.326,9,0,9,0.4666666666666667
n1,46,0.2103,0.308,4,0,4,0.43333333333333335
n1,51,0.2134,0.267,3,0,3,0.6
n1,56,0.25406666666666666,0.267,1,0,1,0.4666666666666667
n1,61,0.23529999999999998,0.204,0,0,0,0.4666666666666667
n1,66,0.201,0.128,1,0,1,0.5
n1,71,0.16156666666666666,0.056,0,0,0,0.4666666666666667
n1,76,0.1965333333333333,0.056,0,1,1,0.5666666666666667
n1,81,0.13746666666666668,-0.026,0,0,0,0.5333333333333333
n1,86,0.15726666666666672,-0.026,0,1,1,0.4
n1,91,0.16060000000000002,-0.033,0,0,0,0.3333333333333333
n1,96,0.26016666666666666,0.093,0,0,0,0.4
n1,101,0.2314,0.104,0,4,4,0.43333333333333335
n1,106,0.1844,0.104,0,16,16,0.4666666666666667
n1,111,0.14546666666666666,0.104,0,11,11,0.6
n1,116,0.1106,0.11,0,6,6,0.6666666666666666
n1,121,0.11296666666666666,0.151,0,3,3,0.5333333333333333
n1,126,0.1297333333333333,0.151,1,0,1,0.6
n1,131,0.1522,0.151,0,0,0,0.5666666666666667
n1,136,0.1696,0.151,1,0,1,0.5
n1,141,0.19326666666666664,0.151,0,0,0,0.4
n1,146,0.2163,0.151,0,0,0,0.36666666666666664
n1,151,0.14903333333333332,0.044,0,0,0,0.5333333333333333
n1,156,0.18016666666666664,0.044,1,0,1,0.5666666666666667
n1,161,0.1504333333333333,-0.016,0,0,0,0.5333333333333333
n1,166,0.13753333333333334,-0.065,0,0,0,0.5333333333333333
n1,171,0.1459,-0.099,0,0,0,0.5
n1,176,0.14576666666666668,-0.152,0,0,0,0.5333333333333333
n1,181,0.15880000000000005,-0.178,0,0,0,0.43333333333333335
n1,186,0.1884333333333334,-0.178,0,0,0,0.4666666666666667
n1,191,0.1893,-0.215,0,0,0,0.4666666666666667
n1,196,0.10143333333333349,-0.336,0,0,0,0.5
n1,201,0.0944666666666667,-0.356,0,0,0,0.4666666666666667
n1,206,0.0978,-0.356,0,1,1,0.5333333333333333
n1,211,0.10830000000000006,-0.356,0,0,0,0.4666666666666667
n1,216,0.10599999999999998,-0.378,0,1,1,0.5666666666666667
n1,221,0.11470000000000008,-0.378,0,0,0,0.5333333333333333
n1,226,0.12753333333333328,-0.378,0,0,0,0.4666666666666667
n1,231,0.13563333333333338,-0.382,0,0,0,0.5
n1,236,0.08380000000000004,-0.444,0,0,0,0.5333333333333333
n1,241,0.07926666666666665,-0.453,0,3,3,0.4666666666666667
n1,246,0.07873333333333327,-0.453,0,0,0,0.43333333333333335
n1,251,0.08223333333333344,-0.453,0,4,4,0.4
n1,256,0.08313333333333334,-0.453,0,1,1,0.43333333333333335
n1,261,0.09429999999999988,-0.453,0,0,0,0.4666666666666667
n1,266,0.1050666666666667,-0.453,0,0,0,0.4666666666666667
n1,271,0.10059999999999997,-0.466,0,0,0,0.43333333333333335
n1,276,0.10150000000000003,-0.47,0,0,0,0.5
n1,281,0.09270000000000012,-0.486,0,1,1,0.4666666666666667
n1,286,0.09023333333333328,-0.499,0,1,1,0.5
n1,291,0.09640000000000004,-0.499,0,0,0,0.5666666666666667
n1,296,0.09876666666666667,-0.499,0,0,0,0.6
n1,301,0.22769999999999996,-0.335,0,1,1,0.26666666666666666
n1,306,0.4292333333333333,-0.078,0,20,20,0.3333333333333333
n1,311,0.3569666666666666,-0.078,0,15,15,0.5
n1,316,0.29533333333333334,-0.068,0,11,11,0.5666666666666667
n1,321,0.22449999999999992,-0.068,0,11,11,0.5666666666666667
n1,326,0.15740000000000004,-0.068,0,8,8,0.5666666666666667
n1,331,0.12496666666666667,-0.068,0,4,4,0.4666666666666667
n1,336,0.11836666666666665,-0.068,0,1,1,0.4666666666666667
n1,341,0.12166666666666667,-0.068,0,2,2,0.5
n1,346,0.08370000000000002,-0.12,0,1,1,0.5333333333333333
n1,351,0.11390000000000003,-0.12,0,0,0,0.6333333333333333
n1,356,0.1392,-0.123,0,1,1,0.5333333333333333
n1,361,0.16123333333333334,-0.133,0,0,0,0.5
n1,366,0.5245333333333333,0.265,0,0,0,0.5
n1,371,0.5218,0.334,0,0,0,0.3333333333333333
n1,376,0.4502999999999999,0.346,0,16,16,0.43333333333333335
n1,381,0.3789333333333333,0.346,0,13,13,0.5333333333333333
n1,386,0.29956666666666665,0.346,0,8,8,0.6
