epoch,train_loss,train_acc,val_loss,val_acc,reconstruction_loss
1,1.7029,42.49,1.3133,81.36,0.7923
2,0.7245,91.38,0.3822,92.54,0.5809
3,0.3629,93.51,0.2814,92.71,0.5198
4,0.3082,93.80,0.2391,93.56,0.4917
5,0.1831,95.65,0.2239,95.93,0.4790
6,0.1304,97.24,0.1945,94.75,0.4690
7,0.1308,97.03,0.1583,95.25,0.4609
8,0.1530,96.99,0.2755,95.93,0.4554
9,0.1463,97.20,0.2844,96.44,0.4519
10,0.0959,97.66,0.1216,96.95,0.4470
11,0.1012,97.78,0.1664,96.44,0.4451
12,0.0957,97.61,0.1854,96.95,0.4428
13,0.0835,97.95,0.0892,97.46,0.4415
14,0.0631,98.66,0.2660,96.10,0.4394
15,0.0918,98.03,0.1175,97.46,0.4369
16,0.1118,98.49,0.1482,95.76,0.4354
17,0.0612,98.53,0.0704,97.80,0.4340
18,0.0366,98.91,0.2046,97.12,0.4317
19,0.0657,98.62,0.1870,97.63,0.4302
20,0.0688,98.53,0.1873,96.95,0.4295
21,0.0444,98.58,0.1724,97.63,0.4281
22,0.0497,98.95,0.1199,97.80,0.4270
23,0.0502,99.16,0.2373,97.63,0.4257
24,0.0320,99.20,0.0723,98.14,0.4231
25,0.0231,99.37,0.0676,98.31,0.4219
26,0.0239,99.29,0.0955,97.97,0.4206
27,0.0239,99.37,0.1275,97.63,0.4199
28,0.0214,99.46,0.0880,98.14,0.4190
29,0.0140,99.50,0.0747,97.97,0.4186
30,0.0306,99.20,0.1118,98.14,0.4182
31,0.0139,99.54,0.1109,97.97,0.4177
32,0.0290,99.50,0.1032,98.47,0.4170
33,0.0215,99.41,0.0865,98.47,0.4161
34,0.0174,99.46,0.0927,98.31,0.4157
35,0.0106,99.58,0.0844,98.31,0.4157
36,0.0106,99.75,0.0886,98.47,0.4153
37,0.0101,99.75,0.0797,98.64,0.4148
38,0.0077,99.75,0.0741,98.64,0.4149
39,0.0066,99.87,0.0923,98.47,0.4143
40,0.0048,99.92,0.0769,98.64,0.4140
41,0.0076,99.83,0.0763,98.81,0.4137
42,0.0053,99.92,0.0964,98.64,0.4138
43,0.0120,99.71,0.0894,98.64,0.4131
44,0.0207,99.71,0.1564,98.31,0.4133
45,0.0119,99.75,0.1156,98.47,0.4125
46,0.0102,99.67,0.1319,98.31,0.4129
47,0.0182,99.87,0.1608,98.14,0.4126
48,0.0050,99.92,0.1229,98.31,0.4119
49,0.0033,99.96,0.1355,98.31,0.4115
50,0.0049,99.92,0.1103,98.47,0.4112
51,0.0026,99.96,0.0980,98.64,0.4117
52,0.0045,99.92,0.0943,98.64,0.4117
53,0.0026,99.96,0.1025,98.64,0.4114
54,0.0033,99.96,0.1067,98.47,0.4111
55,0.0061,99.92,0.1032,98.64,0.4105
56,0.0026,99.96,0.1000,98.64,0.4114
57,0.0046,99.87,0.0982,98.47,0.4111
58,0.0033,99.92,0.0973,98.81,0.4104
59,0.0028,99.96,0.0971,98.81,0.4108
60,0.0062,99.87,0.0992,98.81,0.4101
61,0.0058,99.92,0.1040,98.64,0.4103
62,0.0025,99.96,0.1015,98.64,0.4104
63,0.0025,99.96,0.0997,98.81,0.4104
64,0.0030,99.96,0.1009,98.64,0.4099
65,0.0029,99.96,0.1059,98.64,0.4102
66,0.0029,99.96,0.1015,98.81,0.4104
67,0.0025,99.96,0.0983,98.81,0.4099
68,0.0029,99.96,0.0989,98.81,0.4098
69,0.0025,99.96,0.1042,98.64,0.4103
70,0.0034,99.96,0.1029,98.81,0.4099
71,0.0023,99.96,0.0989,98.81,0.4099
72,0.0031,99.96,0.1048,98.64,0.4099
73,0.0045,99.92,0.1033,98.64,0.4101
74,0.0081,99.92,0.1050,98.64,0.4100
75,0.0088,99.83,0.1092,98.81,0.4102
76,0.0031,99.92,0.0984,98.81,0.4101
77,0.0029,99.96,0.0965,98.81,0.4095
78,0.0023,99.96,0.1063,98.64,0.4102
79,0.0026,99.96,0.0956,98.81,0.4099
80,0.0041,99.92,0.1022,98.64,0.4097
81,0.0026,99.96,0.1038,98.64,0.4096
82,0.0022,99.96,0.1045,98.64,0.4096
83,0.0053,99.92,0.1019,98.64,0.4101
84,0.0034,99.96,0.0984,98.81,0.4097
85,0.0027,99.96,0.1024,98.81,0.4096
86,0.0025,99.96,0.1026,98.81,0.4101
87,0.0020,99.96,0.1035,98.64,0.4098
88,0.0026,99.96,0.1053,98.81,0.4095
89,0.0026,99.96,0.1006,98.81,0.4097
90,0.0063,99.92,0.1008,98.81,0.4101
91,0.0028,99.96,0.1076,98.64,0.4101
92,0.0266,99.83,0.1010,98.81,0.4095
93,0.0028,99.96,0.0994,98.81,0.4094
94,0.0022,99.96,0.1076,98.64,0.4099
95,0.0028,99.96,0.0941,98.81,0.4093
96,0.0038,99.92,0.1068,98.64,0.4098
97,0.0022,99.96,0.1026,98.81,0.4097
98,0.0024,99.96,0.1048,98.64,0.4102
99,0.0024,99.96,0.1023,98.64,0.4097
100,0.0026,99.96,0.0968,98.81,0.4106
