cluster,time_point,mean_intensity,std_intensity,n_samples
Cluster_1,-200.0,0.23640954217860322,0.2331843616792939,1496
Cluster_1,-199.0,0.23882007628742866,0.2305980862455474,1496
Cluster_1,-198.0,0.24080699575608824,0.2291938590376452,1496
Cluster_1,-197.0,0.24232816875411722,0.22891584248426883,1496
Cluster_1,-196.0,0.2435168174977416,0.22941289041800927,1496
Cluster_1,-195.0,0.2445936984428994,0.23007921959678626,1496
Cluster_1,-194.0,0.24574180519590486,0.23046077509220933,1496
Cluster_1,-193.0,0.24704512285628036,0.23073885127285815,1496
Cluster_1,-192.0,0.24852928292524015,0.23158457310545202,1496
Cluster_1,-191.0,0.25025564250728527,0.2333638320660105,1496
Cluster_1,-190.0,0.2523189269515174,0.23572238142696847,1496
Cluster_1,-189.0,0.254710047854659,0.2378960725493792,1496
Cluster_1,-188.0,0.2572075247743647,0.2392201780816147,1496
Cluster_1,-187.0,0.25943641447848476,0.23942832030643701,1496
Cluster_1,-186.0,0.2610599189360315,0.2386666016615521,1496
Cluster_1,-185.0,0.2619639283564732,0.23739007256690742,1496
Cluster_1,-184.0,0.2623486967733983,0.23622056505778544,1496
Cluster_1,-183.0,0.2626781484888667,0.23571973665476614,1496
Cluster_1,-182.0,0.263427482182412,0.23611037812480737,1496
Cluster_1,-181.0,0.26474712451040516,0.23719493328634722,1496
Cluster_1,-180.0,0.26634231858546187,0.23859644760158838,1496
Cluster_1,-179.0,0.2675331421530469,0.23973336170983053,1496
Cluster_1,-178.0,0.2682992407247829,0.24079808731721256,1496
Cluster_1,-177.0,0.26862528504522887,0.24157651748814837,1496
Cluster_1,-176.0,0.26844399998254276,0.24189816924497728,1496
Cluster_1,-175.0,0.26829593143510005,0.24198242743438494,1496
Cluster_1,-174.0,0.26852569856445296,0.241973547940171,1496
Cluster_1,-173.0,0.26886272768853275,0.2419596447636388,1496
Cluster_1,-172.0,0.27001886586862445,0.2422661553657352,1496
Cluster_1,-171.0,0.27176005609327003,0.24270370284776716,1496
Cluster_1,-170.0,0.273507772811928,0.24320484837160478,1496
Cluster_1,-169.0,0.2750811549330087,0.24363964970157173,1496
Cluster_1,-168.0,0.27682649195305226,0.24396978356425936,1496
Cluster_1,-167.0,0.27800416924306637,0.24462107104030656,1496
Cluster_1,-166.0,0.27927495669744745,0.24538294552245637,1496
Cluster_1,-165.0,0.28037477694422164,0.24613508313208385,1496
Cluster_1,-164.0,0.2814093810051366,0.2463794272103036,1496
Cluster_1,-163.0,0.2823968876686015,0.24616445625968927,1496
Cluster_1,-162.0,0.2833649566956399,0.2457703535331964,1496
Cluster_1,-161.0,0.2842182864993669,0.24571236149713319,1496
Cluster_1,-160.0,0.2853637392567761,0.2460421894323016,1496
Cluster_1,-159.0,0.2865568826830631,0.2465521189252727,1496
Cluster_1,-158.0,0.2879005438195029,0.24762961422769697,1496
Cluster_1,-157.0,0.2888089920220251,0.24845937139830138,1496
Cluster_1,-156.0,0.28994650179655085,0.24915529718662832,1496
Cluster_1,-155.0,0.29042108160475316,0.2493989020647873,1496
Cluster_1,-154.0,0.29159772939911044,0.2499766688447988,1496
Cluster_1,-153.0,0.29321887099829935,0.25085903830454237,1496
Cluster_1,-152.0,0.2948723175014572,0.2520516080794302,1496
Cluster_1,-151.0,0.29646165501707905,0.253344681773247,1496
Cluster_1,-150.0,0.29751185182526163,0.25442710201518687,1496
Cluster_1,-149.0,0.29790804593687514,0.255258726452347,1496
Cluster_1,-148.0,0.29783355138932305,0.25572832469721574,1496
Cluster_1,-147.0,0.29764063504322574,0.2559888478318566,1496
Cluster_1,-146.0,0.29758747186342244,0.25606920041886916,1496
Cluster_1,-145.0,0.297634456646725,0.25610614175749585,1496
Cluster_1,-144.0,0.297695248117279,0.2559469781732045,1496
Cluster_1,-143.0,0.29742330700761654,0.25557206824299694,1496
Cluster_1,-142.0,0.2973447347810497,0.2551053849519775,1496
Cluster_1,-141.0,0.2971034390855068,0.2545201225078106,1496
Cluster_1,-140.0,0.29716990982887365,0.25356378194276474,1496
Cluster_1,-139.0,0.2973778842599269,0.2523694392084005,1496
Cluster_1,-138.0,0.2975826460980552,0.25094190152393975,1496
Cluster_1,-137.0,0.2978416514631835,0.24977302687900346,1496
Cluster_1,-136.0,0.2983997800844864,0.24905800289748234,1496
Cluster_1,-135.0,0.29902853298662896,0.2490009205859563,1496
Cluster_1,-134.0,0.30014257270546085,0.24967917977934237,1496
Cluster_1,-133.0,0.3011048916590416,0.25050967839437843,1496
Cluster_1,-132.0,0.30234179625169216,0.2513382944928466,1496
Cluster_1,-131.0,0.3038037015053339,0.2519736471607201,1496
Cluster_1,-130.0,0.3048533407918363,0.25238536673851447,1496
Cluster_1,-129.0,0.3054504914237028,0.25258888900153814,1496
Cluster_1,-128.0,0.30647407073803046,0.25275277123091133,1496
Cluster_1,-127.0,0.30762463878021057,0.25280201769658533,1496
Cluster_1,-126.0,0.30885909769266173,0.2528954449628451,1496
Cluster_1,-125.0,0.3097043596007353,0.253256581643532,1496
Cluster_1,-124.0,0.31058656789835515,0.2538231602099241,1496
Cluster_1,-123.0,0.31115346373596925,0.2544948076775142,1496
Cluster_1,-122.0,0.3115587947598409,0.2551810240796712,1496
Cluster_1,-121.0,0.3122714478887893,0.25592158288057,1496
Cluster_1,-120.0,0.3132427203580411,0.25671605170731815,1496
Cluster_1,-119.0,0.31479792562646514,0.25738993373844504,1496
Cluster_1,-118.0,0.3167793271057182,0.258387926706954,1496
Cluster_1,-117.0,0.3190344040434721,0.2596908983051772,1496
