cluster,amplitude,duration,fwhm,rise_time,decay_time,auc,snr,amplitude_std,duration_std,fwhm_std,rise_time_std,decay_time_std,auc_std,snr_std,count
0,2.5388659169028145,560.3896103896104,137.35355842932393,229.32067932067935,331.0689310689311,590.8522791229727,7.607267336519585,1.261117932615301,139.7769731994415,79.2500699441781,67.78002229195576,108.08977517733315,292.96520833756176,4.401082628750167,143
1,2.374550608738021,87.3658536585366,41.74328951491621,29.044224068614312,58.321629589922274,139.5635223133772,7.24361820919455,0.34558908823289447,31.215924161048733,33.510158728291806,10.686582806380006,27.76415465434853,52.66896149615196,2.940738740554414,2665
2,2.000388045438606,305.4377880184332,96.9457552014119,121.51103565365025,183.92675236478294,313.13053900695627,6.248629459477862,0.8403518243439416,62.570852120362524,55.17923687872945,25.307496489430854,57.19921939605059,164.78078488313304,2.8880578968534025,589
3,3.0348292607413123,201.89887873754154,88.27697198584447,49.873338870431894,152.02553986710964,348.56569090133894,9.380985906095393,0.45869221667388327,38.315318377133615,68.13231362508637,22.56393704838794,43.757278242469006,104.40487838886948,4.289508129133044,1376
4,2.9981250856673127,674.3335993615324,128.18071467161934,61.08539505187551,613.2482043096569,737.2690693336453,11.028205088478161,1.155124798165168,141.7996897617929,90.36493557467155,39.55419283665386,141.2217624153077,325.68695495704117,6.53989896730548,179
5,3.681716560207021,96.5835681768914,77.57863495923799,30.988510730544117,65.59505744634728,251.67224173025247,13.726202432118146,0.4806237133915266,34.36981190988933,86.2942732501008,11.559273682485523,31.098485000599975,87.80578613240117,6.200645158046097,1318
6,1.4674470847144445,188.5453597497393,58.54558778051472,48.16736183524505,140.37799791449427,149.93053102040722,5.348960515013555,0.4373599376614583,43.90948467209007,37.89207845511426,21.831543454627823,50.25832753432807,58.53538560544588,1.8846624865565411,1644
7,2.7325401087633994,366.59774436090225,96.13499292521811,44.454887218045116,322.14285714285717,452.797591125594,9.391476529611591,0.8588814949603352,62.72178881606564,71.35000340043206,22.483441641362834,59.14796773205148,196.73974678138276,5.087413480396268,684
8,5.061487234712829,220.47922353654837,127.6313952115485,54.47376402790416,166.00545950864424,586.1344897613957,19.79915201125602,0.8621041507951888,76.61864550075961,84.94438992530982,30.502225358277716,70.93924896355256,173.82704443925354,8.027414315976442,471
9,1.2711054814882863,77.13530141939663,33.72758497958218,26.81796103405473,50.31734038534189,62.50946672559594,4.883187547614501,0.35267672903029296,28.058784006483492,23.87680725702605,10.14963132088806,24.456505823764676,27.53954648949024,1.3570677682807393,2647
