epoch,train_loss,train_acc,val_loss,val_acc,reconstruction_loss
1,1.0585,49.69,0.8596,80.17,0.6898
2,0.7203,86.86,0.4774,98.47,0.4509
3,0.3475,96.32,0.1814,98.47,0.4212
4,0.1685,98.33,0.1002,98.47,0.4081
5,0.1177,98.45,0.0895,98.47,0.4002
6,0.1060,98.49,0.0874,98.47,0.3935
7,0.0958,98.53,0.0802,98.47,0.3881
8,0.0867,98.53,0.0881,98.47,0.3847
9,0.0866,98.62,0.0877,98.47,0.3790
10,0.0818,98.58,0.0848,98.47,0.3761
11,0.0737,98.62,0.0635,98.47,0.3729
12,0.0686,98.58,0.0653,98.47,0.3710
13,0.0684,98.53,0.0528,98.47,0.3694
14,0.0635,98.62,0.0526,98.47,0.3679
15,0.0615,98.62,0.0548,98.47,0.3662
16,0.0610,98.58,0.0477,98.47,0.3654
17,0.0506,98.41,0.0355,98.47,0.3645
18,0.0466,98.45,0.0356,98.47,0.3644
19,0.0396,98.49,0.0303,98.14,0.3642
20,0.0338,98.91,0.0329,98.64,0.3643
21,0.0311,98.91,0.0191,98.98,0.3635
22,0.0254,99.41,0.0403,99.15,0.3627
23,0.0247,99.62,0.0242,99.49,0.3629
24,0.0208,99.58,0.0081,99.83,0.3624
25,0.0202,99.67,0.0156,99.49,0.3609
26,0.0144,99.75,0.0220,99.66,0.3610
27,0.0207,99.71,0.0307,99.15,0.3605
28,0.0194,99.54,0.0065,99.49,0.3607
29,0.0140,99.79,0.0086,99.83,0.3599
30,0.0127,99.83,0.0237,99.66,0.3589
31,0.0097,99.87,0.0114,99.66,0.3581
32,0.0078,99.92,0.0157,99.49,0.3582
33,0.0069,99.96,0.0124,99.66,0.3572
34,0.0086,99.87,0.0096,99.83,0.3569
35,0.0069,99.92,0.0147,99.49,0.3571
36,0.0098,99.87,0.0030,100.00,0.3564
37,0.0059,99.96,0.0036,99.83,0.3566
38,0.0062,99.96,0.0074,99.83,0.3558
39,0.0068,99.96,0.0048,99.83,0.3559
40,0.0092,99.92,0.0043,99.83,0.3547
41,0.0074,99.87,0.0132,99.49,0.3550
42,0.0112,99.87,0.0117,99.83,0.3550
43,0.0061,99.92,0.0045,99.83,0.3544
44,0.0058,99.96,0.0031,99.83,0.3544
45,0.0051,99.96,0.0031,100.00,0.3543
46,0.0062,99.92,0.0083,99.83,0.3540
47,0.0057,99.92,0.0041,99.83,0.3537
48,0.0046,99.96,0.0022,100.00,0.3539
49,0.0051,99.96,0.0023,100.00,0.3540
50,0.0045,99.96,0.0036,99.83,0.3538
51,0.0056,99.92,0.0037,99.83,0.3535
52,0.0050,99.96,0.0033,99.83,0.3543
53,0.0049,99.96,0.0061,99.83,0.3534
54,0.0044,99.96,0.0040,99.83,0.3532
55,0.0048,99.96,0.0082,99.83,0.3534
56,0.0048,99.96,0.0053,99.83,0.3533
57,0.0043,99.96,0.0051,99.83,0.3531
58,0.0048,99.96,0.0042,99.83,0.3531
59,0.0055,99.92,0.0059,99.83,0.3532
60,0.0048,99.96,0.0056,99.83,0.3529
61,0.0059,99.92,0.0032,99.83,0.3533
62,0.0045,99.96,0.0066,99.83,0.3530
63,0.0045,99.96,0.0038,99.83,0.3528
64,0.0046,99.96,0.0049,99.83,0.3531
65,0.0047,99.96,0.0057,99.83,0.3526
66,0.0043,99.96,0.0036,99.83,0.3524
67,0.0044,99.96,0.0058,99.83,0.3527
68,0.0046,99.96,0.0047,99.83,0.3528
69,0.0072,99.87,0.0037,99.83,0.3526
70,0.0045,99.96,0.0065,99.83,0.3529
71,0.0041,99.96,0.0042,99.83,0.3529
72,0.0048,99.96,0.0038,99.83,0.3530
73,0.0051,99.92,0.0044,99.83,0.3531
74,0.0044,99.96,0.0034,99.83,0.3527
75,0.0044,99.96,0.0053,99.83,0.3526
76,0.0075,99.96,0.0028,99.83,0.3527
77,0.0050,99.96,0.0044,99.83,0.3526
78,0.0049,99.96,0.0053,99.83,0.3526
79,0.0056,99.87,0.0045,99.83,0.3528
80,0.0052,99.96,0.0033,99.83,0.3529
81,0.0039,99.96,0.0043,99.83,0.3528
82,0.0040,99.96,0.0045,99.83,0.3524
83,0.0060,99.87,0.0035,99.83,0.3526
84,0.0043,99.96,0.0039,99.83,0.3526
85,0.0043,99.96,0.0044,99.83,0.3527
86,0.0045,99.96,0.0040,99.83,0.3528
87,0.0044,99.96,0.0038,99.83,0.3526
88,0.0048,99.92,0.0046,99.83,0.3526
89,0.0050,99.92,0.0052,99.83,0.3524
90,0.0048,99.96,0.0054,99.83,0.3524
91,0.0043,99.96,0.0036,99.83,0.3524
92,0.0051,99.96,0.0037,99.83,0.3530
93,0.0061,99.92,0.0029,99.83,0.3530
94,0.0052,99.92,0.0037,99.83,0.3524
95,0.0047,99.96,0.0051,99.83,0.3525
96,0.0050,99.96,0.0049,99.83,0.3526
97,0.0042,99.96,0.0046,99.83,0.3527
98,0.0045,99.96,0.0051,99.83,0.3529
99,0.0044,99.96,0.0045,99.83,0.3532
100,0.0045,99.96,0.0049,99.83,0.3525
