Behavior,Neuron_37,Neuron_34,Neuron_9,Neuron_30,Neuron_33,Neuron_5,Neuron_43,Neuron_7,Neuron_18,Neuron_21,Neuron_8,Neuron_19,Neuron_35,Neuron_36,Neuron_27,Neuron_11,Neuron_20,Neuron_14,Neuron_4,Neuron_2,Neuron_42,Neuron_40,Neuron_39,Neuron_22,Neuron_15,Neuron_3,Neuron_32,Neuron_38,Neuron_24,Neuron_12,Neuron_1,Neuron_28,Neuron_25,Neuron_31,Neuron_6,Neuron_17,Neuron_13,Neuron_23,Neuron_41,Neuron_16,Neuron_29,Neuron_26,Neuron_10
Closed-Armed-Exp,3.8901346728509494,2.7718789714621224,1.6718046229926458,1.620045608843378,1.243697463986342,1.1884253939561735,1.089312439075364,1.0560023524183777,0.9139504884710443,0.8465612483159449,0.8376182180631974,0.8298967013772368,0.8199166332958303,0.8030766287336507,0.7562158030735053,0.7210603038450042,0.6558041215908327,0.6549166550633685,0.633850427730781,0.6176207761162616,0.615710349120588,0.61496604324754,0.6109926967870591,0.5905012873846999,0.581151675190939,0.555300942828914,0.5174425847502457,0.5074071888055128,0.49252022748255553,0.4678382160367749,0.46503226215252913,0.4056988193863149,0.38620894466698996,0.2801797451211284,0.26209853250324483,0.25523110617402833,0.24855885951076107,0.23022714905783626,0.22210055809087753,0.19957087001190535,0.10486499013266606,0.05929005116178937,0.004610457493956946
Closed-arm,0.3603510087140421,0.051440266276622036,0.18134366862415838,0.3366993247620422,0.12315763808053987,0.8613306079331338,0.38658325157456097,0.4363879278259103,0.37789065954667894,0.09065095383102358,0.010965966220512534,0.2541010359072264,0.3837801708469325,0.6230242180929779,0.5690696087129709,1.126239620774558,0.066472223759322,0.1311718861327,0.03506683837929989,0.4498450066058551,0.5345087004692235,0.47236415922955516,0.06611970569404466,0.582652681200902,0.1595710334365121,0.18997442848292595,0.4387628243922424,0.11125740096365659,0.17231173204909456,0.5139160194499057,0.8721223386287145,0.3140423857649223,0.5925970126864419,0.21030222164150852,0.03092333568432029,0.48076909229811954,0.3862546315651341,0.1450161494467303,0.7015524676441647,0.3460292726773386,0.8258832369903844,0.19945563078656767,0.6179453917053243
Closed-arm-stiff,1.055303983698713,1.0761414879417124,0.3461499246454062,0.47374787383383654,0.5816146604512527,1.3990334167549938,1.5425740465849915,1.0228053681962834,1.0200006737362555,1.9005392653860607,0.31545699936663163,2.5284096597833097,0.04727035916566909,0.5119814144795771,0.5698377535218437,1.5852227840783615,0.514115027851653,1.4083294550530117,2.163732931286667,1.5701758341684684,0.7557218048734922,0.06758977036350597,0.04588383718245675,0.9549944014178283,2.227237385115488,2.0235520262954383,2.3113276987994005,3.2559381222578425,0.9146393917666645,0.42100281762943886,0.332868130601615,0.2662635138693791,0.09175432667192654,2.7798301470760154,1.3795584359396411,0.2758705356892854,1.6228579064644988,1.4237693672139038,0.8761638552320246,0.11497114854797624,0.6779385231762473,0.4777751323294194,1.0034618181161874
Middle-Zone,0.015067517435187059,0.8475791928977007,0.3581948268255003,0.16399511235886594,0.18263008047678686,0.08701306896648943,0.08151896772195803,0.07144102887375724,0.2351844577160295,0.20531467147935345,0.7565377212730332,0.004949534980992717,0.1375343993250417,0.7747346595531922,0.21937551010227602,0.5492965520779115,0.10906282787400187,0.43860190332682325,0.2507439823902819,0.1903330371968913,0.34556071242529146,0.07675421684314823,0.4434684199320474,0.4757044681974079,0.4222093002167395,0.04552638794400192,0.14342967659601902,0.07004042603653061,0.3654530606152019,0.44385482622613237,0.717976044585939,0.18570005798698677,0.8365060434530436,0.26689945258243997,0.4357229333177513,0.04958367318313992,0.5171650411556148,0.14239505942028724,0.17242770305931746,0.2161140394682868,0.28397801566968817,0.42586945391715436,0.0052943227345329785
Middle-Zone-stiff,1.0602804470218998,0.08121310358352545,1.1894086823300432,1.2900016268149956,0.08632152159810862,0.6161698197792568,0.7721039602325542,1.5343058285173925,0.03981806440306994,0.5473674991901961,1.7844108950417688,1.0856011572752895,0.796811230221057,1.2255770119158873,1.122577603438789,0.8370494990412544,2.6264581337363513,0.9237638254889738,0.6596152541771402,0.47293145481910936,0.2903125512654162,0.6427751094926958,0.10868949634755933,0.636777583711907,0.2739572469265034,0.7546937806599386,0.9763843588261527,1.0053325150849202,1.904749432452533,0.12603359765389496,0.027295021442349156,0.36957243277402774,0.6513579067416891,1.1619596597476942,0.2796158417841234,0.8060364757361904,0.06830685305456011,0.39104235306787105,0.9974607598797935,1.0218322142697973,1.4792501263391113,0.4431501956991488,1.4110900250544232
Middle-Zone-to-Close-arm,0.7234346893737105,1.1094259431245148,0.9439732982725108,0.952413985995087,0.43183059046069744,0.2730293778821968,1.1554865303971085,1.4858519164646609,0.2268747959734354,0.0786390982024606,0.9378817412934701,0.9394995464111965,0.8619696797169878,0.7774974352907007,1.6209055653122473,0.4105106590049091,1.076051951618913,0.04960327068619896,0.6367396936973101,0.04605249873423249,0.15512776889710325,0.4285290427497635,0.05860208386869542,1.1180527432941,0.6931435903405351,1.0480798338467514,0.02089498006895805,0.5685399071766851,0.41647784364668244,0.0019548555349788973,0.5098565296483513,0.6451907487501671,0.5081139327289677,0.7880935639313673,0.23605796382945585,1.1075877432719647,0.29005493881510264,0.37750288032625035,0.48676063578872275,0.5634465022807865,0.9742378559614723,1.0569776871922263,0.2511509459230262
Middle-Zone-to-Open-arm,0.024594829417350944,0.8446061056925116,0.12536531760371314,0.5685418033006411,0.12484095189634796,0.2523378359111775,1.117936986187396,0.16346035327318267,0.0744687767554872,0.16266294977550838,0.3621530938137077,0.6177156617345143,0.15888900630118513,0.1354923814203179,0.9507587300260524,0.4071709469686902,0.5296619830422105,0.01089580124733878,1.0622059836444582,0.025487027026683137,0.8294243676679853,0.35965569943217635,0.3214426822513794,0.11932635013343605,0.3803237232080025,0.6061616468873342,0.49343295626098543,0.25896503553538786,0.904122231234028,0.5194758246583725,0.881397441790251,1.7395121293391675,0.48176973991046,0.02267821210213696,0.5411863856418024,0.4070259908403048,0.7600081889023013,0.06674589899480157,0.9001245318649086,0.3679523910178498,0.13660616708091652,0.3317803367577485,0.26640537738126335
Move,1.470820702986276,0.3940798233959808,1.359341107673826,0.5828595934195397,0.9522987740598021,0.706441633223387,1.3452216660917735,1.0131515292564932,0.5992057691121486,0.365394561340191,0.04269203042185069,0.01560079615241898,0.5449418437700525,0.7500639129460611,0.7002352292119316,0.5769766477725677,1.1432707797383133,0.669841792800606,0.03709957761422281,0.428813226547421,0.29246750974900654,0.15980053889901472,0.5144412132806723,0.28649459695058377,0.23127208466297375,0.07589322286108224,0.31589790583450245,0.7488304409336556,0.15399835943938267,0.15137169350498855,0.18155146221519597,0.5404505711047306,0.4415638393215715,0.25600008045437084,0.7839752148505047,1.2048950274505665,1.0735572350024618,0.24283569705622196,0.9634069808850118,0.006114786148567534,1.0338761959792357,0.5824807832561604,0.15707199636475958
Open-Armed-Exp,0.018099843928753113,0.21623403358624327,1.600281582495261,0.1979313404833049,0.08823942218758973,0.4798713044120004,0.41721465654354456,0.7456445301898905,0.22913399265185233,0.41032658927972615,0.2866843904686831,0.0891132320892923,0.32438765941664294,0.12662312435275785,0.7579502262108602,0.3306642411911818,0.8958028761490727,0.5694226841663103,0.03597864456676761,0.09064936407147325,0.040351446424424425,0.8392029274571182,0.5409915815357896,1.046968595238294,0.4158665525878152,0.010694957528692088,0.12715368855364936,0.024386883822323294,0.31603197853495246,0.8429631781176286,0.38061625172255353,0.24329760698556804,0.1660264389785092,0.40904329101976433,0.27678697717649864,0.30875978026514717,0.40700860469569866,0.20771840816646725,0.06424277104727363,0.1865430086398247,0.8226240118403931,0.1430450369729417,0.2936248649796764
Open-arm,0.5572105090779356,0.38808472222375434,1.0889806367781656,0.2343828355055694,0.6346047345970398,0.21358559927071416,0.16093198788951368,0.7535637464000959,0.1848632832526908,0.2759231606659529,0.2584046366862341,0.214474523629744,0.7791636265454367,0.4587063282736602,0.186512490218937,0.29990712591700514,0.25357403305524967,0.5667189336045658,0.050342928841590605,0.1690006841303948,0.44606237494233414,0.20500088397729063,0.5364574579707063,0.05262299643511364,0.4141192248448334,0.10659717070501958,0.17126187892571568,0.6531877987391119,0.16650522596941542,0.06002312318302663,0.08120418383708226,0.28801049511422117,0.5444277512696551,0.590920741159014,0.4352941538631121,0.05390095410427971,0.47816491761846236,0.6200964967092615,0.3862950185094724,0.8851514059243413,1.0121627248682128,0.1118835504895538,0.08213622111504604
Open-arm-exp-middle,0.409055459821997,1.1520672580661473,1.2110438179134304,0.3495288221697974,0.22277275836316326,0.2903340514386777,1.8448037697213964,1.2078459591905129,4.397825196739898,1.589281075996712,0.32425380083763194,0.24493912600899403,0.21460072100406982,0.46052613941029924,1.0404272272525836,0.8949404853770312,0.7464221376921222,0.3368744934009109,0.7459310507039006,0.578412653246051,0.23943573110732028,0.690329839589963,0.3317013017545129,0.7305705080357011,2.6066263656285757,0.5360520842282086,0.11365111641309293,0.5243945091655022,0.9188086203853297,2.3043358288800695,0.32046387452706965,0.7833553242410054,0.8662575002893851,0.8858656393372056,0.6210666542285243,0.20601414949014352,1.7258556078253826,0.22434085171979284,0.17644332272465618,0.7984317369853685,1.6419937137089557,0.0020846387385537487,0.5050921659516933
Open-arm-probe,0.025547419102456614,0.704555751492964,0.5573745410264183,0.6756612924092202,0.1838699656532708,2.1699021590932293,0.484097614251757,0.7213689533637557,0.5104106522006978,0.3474232613776061,0.6908329358453348,0.0843241798588837,0.4874642753193694,0.0220434606657984,0.8140197119061273,0.1894262927177332,0.7871419632475416,0.027513441339657073,0.28913594675412135,0.6101520625314761,0.05234316418811141,0.2132104136640312,0.5768802769660492,0.3161815413323922,0.05130368160709545,0.15054940677560835,0.07972285951321528,0.43603152302921594,0.5643149275984026,0.20869335800228203,1.2376443885535853,0.45201901275338974,0.2569922254991313,0.14069928639830906,0.8350094960653371,0.08672373950548741,0.453358941010417,0.22001482580163326,0.0009171185699555827,0.10628622543696517,0.273774434600021,0.44834156935900943,0.09218554774543994
