Behavior,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Neuron_10,Neuron_11,Neuron_12,Neuron_13,Neuron_14,Neuron_15,Neuron_16,Neuron_17,Neuron_18,Neuron_19,Neuron_20,Neuron_21,Neuron_22,Neuron_23,Neuron_24,Neuron_25,Neuron_26,Neuron_27,Neuron_28,Neuron_29,Neuron_30,Neuron_31,Neuron_32,Neuron_33,Neuron_34,Neuron_35,Neuron_36,Neuron_37,Neuron_38,Neuron_39,Neuron_40,Neuron_41,Neuron_42,Neuron_43,Neuron_44,Neuron_45,Neuron_46,Neuron_47,Neuron_48,Neuron_49,Neuron_50,Neuron_51,Neuron_52
Close,0.402353274219237,0.35056890621167475,0.5962595948877184,0.07936578255834727,0.418907895471903,0.09651591942038396,0.3192069869606326,0.12042355961067291,0.3205182981768476,0.41818062258381744,0.26427189425859915,0.007136625987891446,0.3753549162752828,0.4128841919902494,0.3103585921765456,0.03981783041605024,0.21089361237393336,0.55266079040595,0.1897879844768435,0.18735904663341624,0.1660730457608176,0.10629943820388309,0.20312093843282344,0.23020833934991292,0.3470460149610475,0.06843891034515051,0.10118347757694582,0.0020366651657730433,0.01259626909443785,0.9214323889423752,0.8072325308218522,0.008607932507612001,0.08692591963298364,0.12975657357261292,0.27803379351595225,0.19353297865142421,0.40930779793820093,0.15106327093861355,0.5154102711968022,0.6152038958557022,0.04998688523857092,0.39662730683324166,0.2407773718610625,0.21429790338654478,0.20722519082065735,0.008926827070361208,0.3451463997876621,0.4824433284448326,0.061228335949309966,0.3690117956392266,0.5880961881951821,0.21372141038419248
Middle,0.04821642699625569,0.06564900042842683,0.1274766850531142,0.4924446131177064,0.08697379865532893,0.14227375891760433,0.31309840120185,0.9653699923900836,0.09625854844073795,0.05226722920770846,0.24529147105056315,0.2541533741185006,0.5418560905705909,0.2233448577061807,0.32231812372340635,0.1690214089590486,0.26306432996121304,0.12569819411859173,0.020416849771111713,0.24597394249712262,0.3238950959159935,0.06910334186858022,0.10691393598732611,0.19888791021179023,0.27185799928557614,0.18737844087729377,0.11230726192414847,0.00043935478848959174,0.07670136732159556,0.2803018988843285,0.06727246825005181,0.3003392684602619,0.31263867825687763,0.021853331605064762,0.12112900599399677,0.2027827439895977,0.1266725669207741,0.010569850803163477,0.37745861861388263,0.21360165950492413,0.031508625641455935,0.2046410817265868,0.12199301232739204,0.2819639639308062,0.30937832037560126,0.019287615629079314,0.1916101381716683,0.14638723995688324,0.09927505195602626,0.3804323231489919,0.28309811006167757,0.29929483515546795
Middle-Climb,1.1201581068045532,1.6472623452608757,0.9631396247473696,2.036437680027524,0.8914227069005602,0.007891363621294587,0.6377725257356489,2.1529652949150564,0.47340519094216493,2.4353449408927066,1.4985005270663483,2.08833448218667,1.2590249698086176,0.9344429532593314,1.1826918873298011,2.1403108602263674,2.323824581091179,1.0393710525410407,0.6535477154656134,0.647766028006044,0.9354298546457813,0.74660067551703,1.2384534234362372,0.7817341867315313,1.0744689314978717,0.6343890873862866,1.2656830097245388,2.397961471543352,0.8212388447134901,1.2886957806217045,1.4544877661442155,0.9841656791443013,0.642555690676028,1.2112532231312063,0.692851226754956,0.5018903159560282,1.3148286074732616,0.8253002565506434,1.070911082920977,0.9286712020531027,0.9029300352775638,0.9665851752803275,1.4340162159888064,1.0816764976051478,1.4880618530993428,1.5821288001916847,1.340359220788876,0.19695144291834243,0.8895442011854362,1.2458829121252968,0.6803479312630739,0.9785294756768604
Middle-to-ClosePeer,0.9156942735380222,1.1930578598765866,0.8483757426097907,0.2857439246028218,1.05517607506458,0.45139940943824874,0.7583541075371585,2.5154281210234637,0.6604771101921367,2.146258877250315,0.12315263915653797,0.42732284591492603,0.018035451051269823,0.11588117429919474,0.9484218723710716,2.089186094993193,0.2827435273027217,0.29048140065559974,1.8465099904260425,0.27470691304204775,0.8038096295194533,0.6457142539447578,0.6631020152041004,0.5393023961700067,0.09997711770695074,1.3397663066948495,0.588642145590823,0.6785299123402522,1.224094374633011,0.02430852802115692,0.5774486821790831,0.8954797542399249,1.5340023871808148,1.269606917711621,0.04348416198015795,0.9037149579528623,0.11416537026674187,0.4421376806064396,0.4848383343799295,0.6519315770654907,0.9933460513151199,0.4564273267298339,0.40989882617454476,2.3380276678576446,0.09897460965829621,1.8360555361270747,1.0846139345021217,0.8612516074760725,0.36166583897188437,0.557296345154206,0.2557322842267056,0.29399991685706284
Middle-to-Open,2.1063646227277553,1.1302286963827346,0.38570255754514027,1.4859172062068993,1.5348731579024164,1.495103108631635,0.4243246846206548,2.29756912412116,0.42101637339548004,0.5716434023607857,0.3891529082701763,0.6748449138280485,0.8071699665662873,0.5157621815154848,1.2145448250762376,0.6496661279837466,2.845205228929948,1.2290824901145738,0.42739366589583133,0.4202702887822522,0.7949712321366411,0.8977013119030763,0.9164048932287914,0.7250949704431996,0.8764576352234333,0.4468833468774981,6.303376987269185,0.3034455040693587,1.027456423906138,0.6912277834491294,0.8204228808966071,0.42779618937525893,0.6223228297721968,0.12096840741512917,1.157579991025481,0.6095161041728715,0.9211651059903154,0.20470870525493332,2.249401359021058,0.13420197447221172,0.531936771932302,0.5883206410123241,1.8409481188851684,0.03893430703679152,0.7880018163969984,0.3301827398617714,0.17854816524539058,0.8362610074910732,0.9342353235040721,1.3915147121974145,1.1076578843188494,0.909480175116635
Middle-to-OpenPeer,0.6272796603602415,0.9402187394231277,0.21818767466110983,0.5288407417229272,0.48909970328620717,0.012551166324554563,0.6042232034610995,0.24563759538348945,0.5021993301258818,0.028238882934943418,0.2910318952967128,0.7905009899936419,0.18310392493214003,0.5508627559379763,0.8251593977913899,0.47695541837801264,0.12973893333050973,0.20389050753115084,0.11872265791669298,0.48886094218756315,0.23277193379859218,0.20964477453358907,0.31435262120362284,0.27816654704047183,0.01823458303462565,0.764308290166779,0.0005527364337931579,1.3262107201265476,0.10462312359513137,0.11606071012853474,0.08560208062429671,0.009645471250324344,1.123258465670184,0.19155418808549207,0.017401993646447324,0.1331651383402054,0.5805929981176533,0.8425677552930154,0.4573183614018744,0.13782585578057244,0.41219761217732975,0.2070303915014234,0.5486213087121208,1.0804716659521405,0.08432229761995359,0.4153619331117689,0.32835176366858926,0.31522064427896784,0.1277365426015766,0.18172804135828138,0.43654498228556554,0.0221777612818669
Open,0.35162023323136565,0.4902626463339765,0.7657838696304852,0.24981095327917768,0.4551763968014203,0.021388237108698867,0.13317209885298903,0.24193913682197443,0.3685893401507568,0.7440277280803277,0.2912122747678332,0.17427523870753936,0.3826101899715251,0.423497260098683,0.5685369410361023,0.22315350417382565,0.22898427974455954,0.8837103576789775,0.3554794987597907,0.5336002568390892,0.00521175001174168,0.12412512995464148,0.39880987064757906,0.15027036871422172,0.542660125406379,0.1299492134988155,0.19887401185731812,0.18733226682353027,0.06902930141568196,0.9987773257652088,0.9411762028790122,0.05325074475059993,0.1708531566602617,0.019216610836659476,0.4825292421116626,0.5689493963963638,0.4144129867407023,0.1512132522705238,0.6295490682973779,0.5977303924587359,0.13828863664396104,0.440961853932461,0.40363301127721457,0.3826463822250474,0.45608263507652963,0.17364766807840812,0.5438454692647731,0.5769894325923617,0.0881431841738532,0.28391381268689736,0.6571655162824899,0.19116350115050695
Open-Peer,0.3978644764102465,0.5360748668826235,0.6218958583515981,0.29614317986015726,0.289673151218908,0.28040484459567433,0.32216871247167755,0.33029245379071354,0.6479582671989438,0.34627609997746056,0.21229900140358587,0.1464304559982819,0.44013433259996293,0.6244047546635633,0.4947041629774162,0.43226135536718463,0.23617654101081528,0.8641972641841116,0.45183699300591174,0.37651600846149424,0.020583135372665495,0.043314071961014854,0.32160937125192895,0.002662356341946541,0.45903138863793247,0.04376096096598577,0.15237773031798207,0.32083018661579166,0.05115616923298607,0.7656647189023379,1.0045162126612968,0.37952197036039254,0.20830851905703338,0.17117987801744708,0.5061536743105121,0.35721984123138056,0.36310618099946235,0.028840462424556804,0.561229278227308,0.5791445153921478,0.1149626421219041,0.34766866017068976,0.2142824730337384,0.06891708406956747,0.07858449915984742,0.08434738453061642,0.14174341912845995,0.39510315699311743,0.26958433166631524,0.03920932476162823,0.5004339136695586,0.05745854958822427
Rat-head-jamming,2.2125058870973895,0.11775658969450192,0.3930118942419651,0.9900128694289404,0.9678701185625967,0.19966620791909814,0.40251461126567983,1.7795430993584598,0.24741446197440894,0.2193248680976675,0.7221620178218532,0.06717826550264305,0.4440348366378696,1.1688719445125964,0.36225260596902586,0.6801236566378546,0.15488673258014993,0.17438326384501274,0.023790098889026515,0.5177705549087395,0.35279643604332894,0.2577943307150821,0.6696698993727922,0.7078332552801435,0.578292524678301,0.2092779118283171,0.5406318192477167,0.3099902688098402,0.8007272947071435,0.34015534277498666,0.09203932876855293,0.10435753131163746,0.4910168950250601,0.03637746617820216,0.48028467752361625,0.5318382680435643,0.49023457249105656,0.36875776939650057,0.030479293004771858,0.5255496468159493,0.4177430920692781,0.2883142865956779,0.6216058956533502,0.0616555368928328,0.8882155395448229,1.8927274282984894,0.06447989569600451,0.714808688629236,0.05814808760923864,0.8971802008295244,0.08141926932288827,0.003942324077775645
,2.5106566927431633,0.7792408168045467,0.5652833305597792,1.0516862100548932,1.2814319389568745,1.0134031308191764,0.3197551957699392,1.653869434993129,0.2608460587499131,0.43507347347803166,1.1178876090081609,0.6175449189398704,1.4681213118621077,0.7502350008119947,0.3488748901254474,1.5896455594139067,1.5115195846100191,1.324500820127764,3.0605730276264906,1.9840807142285306,0.2158220832865491,0.18382151622542175,0.5983400265427689,0.6003386642374194,0.41507488627325967,0.05586295601535873,0.18769586480542189,1.0207464965662225,0.8851619065047063,1.077340972055272,0.19085988703766701,0.1581539891233425,0.37268072698972443,1.2868118132943214,1.5782929223323248,1.3940776387561504,0.045750850402486345,2.5369046490040623,0.9509824668043663,0.4463350130621222,0.5920165193538746,0.20794189956459327,0.059051121608204804,0.2557835261460434,0.017963762224288533,1.2057582204594768,0.8652012397982755,0.04391543689380617,0.011135621570508783,0.411472037292421,0.17705304913037054,0.43913623293375015
