Behavior,Neuron_37,Neuron_8,Neuron_12,Neuron_39,Neuron_21,Neuron_23,Neuron_20,Neuron_22,Neuron_29,Neuron_2,Neuron_48,Neuron_49,Neuron_51,Neuron_41,Neuron_43,Neuron_1,Neuron_30,Neuron_18,Neuron_24,Neuron_35,Neuron_3,Neuron_52,Neuron_31,Neuron_26,Neuron_38,Neuron_44,Neuron_4,Neuron_28,Neuron_33,Neuron_11,Neuron_25,Neuron_32,Neuron_46,Neuron_47,Neuron_36,Neuron_27,Neuron_42,Neuron_13,Neuron_10,Neuron_17,Neuron_9,Neuron_5,Neuron_7,Neuron_40,Neuron_6,Neuron_34,Neuron_19,Neuron_15,Neuron_50,Neuron_14,Neuron_16,Neuron_45
CD1,4.8873593280518355,3.561551774569353,2.906086281207787,1.949198708911782,1.939239932075901,1.930045176869593,1.7526016867216687,1.5810598766850732,1.535307805889088,1.526224660723923,1.4839679188650878,1.450920996224439,1.3934649753775774,1.360015542258027,1.2961498904218585,1.2814674473569123,1.200369673067398,1.1671129844429748,1.1597760127311996,1.135395831310966,1.0755687679971988,1.0415420002441516,1.001513772362055,0.9777976328548282,0.9492529902263639,0.9132559425289366,0.8821657160794977,0.8643029388764769,0.8590809457813121,0.7993527642533195,0.7912205868616943,0.7878328295565452,0.7355182573040417,0.7340943945053052,0.7251580970093515,0.7120221138628616,0.6936549617015096,0.6624065582576376,0.4980520431895257,0.4610404106999768,0.45774386203675443,0.432391699774078,0.4297269540627401,0.41448558695497767,0.33715145731118534,0.30860531217513604,0.30154394042585775,0.17643907518038987,0.1763700062224177,0.17141173563830353,0.10782331322180023,0.019995496465223646
Clim,0.04454843248855732,0.011517079323978418,1.0655580174013246,0.6621225975592545,0.8721018792108257,0.17618952691246836,0.7780020371472904,0.4165867231464477,0.0897590448903137,0.24666570297116874,0.11282739031481591,0.8969971340441409,1.2279129390378978,0.019370401421335774,0.3971007134051742,0.5214013544280932,0.3341389915038434,0.14519299488567614,0.3044754321298625,0.0724434590006101,0.07148389800921386,0.2776997417836599,0.6025124809337346,0.46892871404485964,0.4053068288458612,0.08883080533825222,0.04636617838960739,0.3952943010936738,0.4986651313021873,0.29311717718237396,0.1597383109241265,0.4787142529382002,0.48969564698805196,0.46667734742499073,0.36152140165351637,0.7728064750323016,0.4991905142726139,0.2626229139071921,0.17041053758823083,0.4655849990163945,0.012831679408962949,0.392832004807271,0.3279273791562283,0.4824146387463582,0.5578504105129585,0.8301911669212831,0.6492469628360112,0.8256478641401325,0.11254756548878038,0.2945323029221249,0.11817472779520968,0.5017213806739694
Exp,0.10084507917881688,0.34139139231547133,0.26634035288516783,0.8848181850873256,0.0215353554160249,0.03980485370190677,0.25422281030926486,0.07711534552217449,0.16827526931771244,0.45362145984403773,0.5380720338688783,0.09044516809201955,0.10018415826256864,0.03554332913284824,0.06631976418359994,0.4307425610961781,0.7993431342310671,0.3164061215450557,0.3960993441849812,0.38513763012192587,0.5453987998778828,1.2036538933527363,0.21696044382505672,1.3957800082928087,0.40325493732614065,0.21849460641694066,0.0895532186543317,0.062406092554216086,0.974974888006566,0.33818357875974336,0.7656330375588506,0.39897073690127205,0.5289766827825773,0.30961091257623435,0.6453967099216287,0.44001298192426747,0.366295852220649,0.7740113245280156,0.7270901751029399,0.7144173879852943,0.18840158146475433,0.10328724428901429,0.2849526204977961,0.07353790073924993,0.5463512481763079,0.2247839216345902,0.15421534549160298,0.38129129077392726,0.2279325938268533,0.4456634227286365,0.9862570619127249,0.5014085064436798
Gro,0.09270778706852902,0.23766693250010792,1.0675241545139122,0.4864222176127328,0.0032842093433939896,0.058624959061383826,0.32339751974523046,0.19851237854063306,0.43471072919200376,0.5667033767234051,0.25746400674649333,0.1553881919472751,0.6539058452360682,0.518496118953601,1.047404217091886,0.47175626408038696,0.18316088534593816,0.8346714927157547,0.3931502418794719,0.2953108745385748,0.3209766788333299,0.3788919530525988,0.9284908167645606,0.07637958739940486,0.689261692650076,0.8862730807443089,0.29529574465898434,0.7896818703004272,0.564353915278388,1.354306821756187,1.234929646575267,0.8577096993985287,0.5755463602849497,0.1808535952871496,0.6077407868026239,0.8126661512671471,0.05476554893259616,0.38465499096354316,0.262050298576679,0.757925933910503,0.5452776979103252,1.5276945732629934,0.9527026567715036,0.38762769782670775,1.0469853191245242,0.7262532941100082,0.02773497437589641,0.06921781211768341,1.3350084249155556,1.5815693451747626,1.04539920957752,0.25910742367066625
Scra,2.2693905247401838,2.2934440168662835,1.9757512451030808,1.1768062038280578,0.8224765955273113,0.6413118474328625,2.0239161208229515,1.165313348102099,4.745947890577,0.7869549288185818,2.786020873446942,1.7082958403684376,1.3528788122005349,1.3900003510528138,2.4615192662407606,0.8541525985162188,1.3843315814578852,4.268697010205115,1.5242275629543773,1.8607920751393692,2.8392862306782503,0.5377661774443955,2.0813764163064286,0.4008748537413108,7.6831641843903355,3.249299563835879,1.2367373643516915,3.952703806545651,2.9367558633372326,2.1737680111746394,1.561706598110404,0.29926639267770505,0.9276498746406656,2.83299448495478,1.8194913945366118,2.7009572630075014,0.6198975193627438,0.30047308591536376,0.239106896368936,13.093798191193248,3.4069000208268116,2.502093097076028,2.9831826222833904,0.21970992720722343,3.622914839571163,3.173900017691161,2.2559073111333987,1.9474475120396313,4.391430537636996,2.132783664703867,4.557133961792858,0.9839161866379217
Sta,0.8039854270922716,0.3559578757363622,0.13110915351077926,0.682365725999248,0.01547302558543442,0.35014056960444856,1.130868439078172,0.16980162783212632,0.45073243028694077,1.649721106811951,0.01641908446736157,0.019222976580993593,0.35385020771200215,0.7551838019826345,0.3112873688837965,0.3180613871550311,0.821609366486437,0.14061482094293304,0.15766583928098868,1.336554779505798,0.5165875478468004,0.43793394849001455,0.10617119079068019,0.07654679836028565,0.0908197396846977,0.11258932469296364,0.6280776404959878,0.4107158057066903,0.10736503917206058,0.1966724340667982,0.4455575472759896,0.6912878503916062,1.2052661645837095,0.20236579478451525,0.053089681828505875,0.23493550051135717,0.7876234300282565,0.13877067637169613,0.054539731819303265,0.2913056626601814,0.4073116067144905,0.1218611596466658,0.19446146591151667,0.19138410455117708,0.033096984999512136,0.17014593196704253,0.3603458702905163,0.18264850199864516,0.3654848391092737,0.5492283758349178,0.12244821973924705,0.4324680900399633
Stiff,0.18590752271705088,0.8757919197911085,1.6246734359920114,3.0997193341588507,2.0364816430078596,1.0553362571556781,2.289460916098048,1.201121788903493,0.3058678381353477,2.253809489432488,2.130266317779554,2.047281953166566,2.3478784723096617,1.6070888000283128,0.35495704305175696,2.2191122623689017,1.529143702565036,0.8296684089644936,0.8000521349732866,1.9581044598018655,0.7739151380402906,0.7484184754128588,1.8668596748468875,1.0144966620747646,0.9327753307200539,1.3105018606587986,1.042334564363793,1.168833857646309,0.004471952720490885,2.026428829401875,1.3492616621426703,1.5287094631128018,0.07396394772308376,1.64478321181612,1.009687687593991,0.39795441470584453,1.5213591784093732,0.06855907644019213,1.27272577702523,0.9887172900783937,2.4490972147318404,0.7386324667681132,2.0372659831243545,1.0726192991606776,1.1561809354026409,1.889827734866155,0.03397834643886384,0.2545153730387197,0.4245752700192976,0.7798279655882986,0.9136057035684773,0.9105978558222952
