cluster,time_point,mean_intensity,std_intensity,n_samples
Cluster_1,-200.0,0.2409966454770029,0.23589697372530957,676
Cluster_1,-199.0,0.24407549239003049,0.23220750491096212,676
Cluster_1,-198.0,0.24703235792008224,0.23078776398696574,676
Cluster_1,-197.0,0.24965233814016155,0.23148445781142188,676
Cluster_1,-196.0,0.25178963462655746,0.2333720500321829,676
Cluster_1,-195.0,0.2535242230502446,0.2352474896686008,676
Cluster_1,-194.0,0.2551611336873179,0.23615663095788914,676
Cluster_1,-193.0,0.25704581197966364,0.23602427301650242,676
Cluster_1,-192.0,0.2594089999586061,0.23579286150377557,676
Cluster_1,-191.0,0.2623407776818642,0.23660649568362516,676
Cluster_1,-190.0,0.26572040315003986,0.23884915699921158,676
Cluster_1,-189.0,0.2691032970918538,0.24186222285298198,676
Cluster_1,-188.0,0.27181517254900794,0.24444173114453793,676
Cluster_1,-187.0,0.27327551296605085,0.2456697892448014,676
Cluster_1,-186.0,0.27329143071559053,0.2453880479539446,676
Cluster_1,-185.0,0.27214755638614185,0.2441661842102158,676
Cluster_1,-184.0,0.27052410479196026,0.24297280028362317,676
Cluster_1,-183.0,0.26925483765563735,0.24257158516819832,676
Cluster_1,-182.0,0.26890650735071714,0.24298271004451055,676
Cluster_1,-181.0,0.26942264838762514,0.24362810970031137,676
Cluster_1,-180.0,0.2701873799614576,0.2439417703326585,676
Cluster_1,-179.0,0.2697812486514366,0.24312806465705172,676
Cluster_1,-178.0,0.269250128813707,0.24211913723380488,676
Cluster_1,-177.0,0.2679987623277458,0.24059051387820737,676
Cluster_1,-176.0,0.2663384201252927,0.23871914055383678,676
Cluster_1,-175.0,0.2647060266327343,0.23666997142126908,676
Cluster_1,-174.0,0.26356886105691557,0.23470841764528727,676
Cluster_1,-173.0,0.2623530149258798,0.2330241186033979,676
Cluster_1,-172.0,0.2629932073790154,0.2325363103091466,676
Cluster_1,-171.0,0.26515896572280445,0.23285232965311697,676
Cluster_1,-170.0,0.26743700530220404,0.23382533441932155,676
Cluster_1,-169.0,0.2691338905418874,0.23489324454292243,676
Cluster_1,-168.0,0.27106454624932624,0.2356928369983475,676
Cluster_1,-167.0,0.2721873060674946,0.23663695841894553,676
Cluster_1,-166.0,0.2734318730960772,0.2378735319205665,676
Cluster_1,-165.0,0.2746889266112734,0.23887803855472287,676
Cluster_1,-164.0,0.27618537215525346,0.23912052520497842,676
Cluster_1,-163.0,0.2780211700118785,0.23857508280537368,676
Cluster_1,-162.0,0.28019904120851025,0.2377604019021714,676
Cluster_1,-161.0,0.282699362078257,0.2374745645581315,676
Cluster_1,-160.0,0.28548702733699166,0.23847497769262319,676
Cluster_1,-159.0,0.2893787250897692,0.2407579619197025,676
Cluster_1,-158.0,0.2923344952401814,0.24405801295725535,676
Cluster_1,-157.0,0.29431860559060413,0.24674675852750744,676
Cluster_1,-156.0,0.2963479448128752,0.2485523536871066,676
Cluster_1,-155.0,0.2975752284104478,0.2492442260948732,676
Cluster_1,-154.0,0.29886586317913555,0.24936409710820057,676
Cluster_1,-153.0,0.3001306632564893,0.24971884467066213,676
Cluster_1,-152.0,0.30143488349507963,0.2508031947909119,676
Cluster_1,-151.0,0.30226978369993057,0.25265773998638397,676
Cluster_1,-150.0,0.30284736203057344,0.25461227121686136,676
Cluster_1,-149.0,0.30255551985260215,0.25627043769188756,676
Cluster_1,-148.0,0.3014826250764572,0.25699431922436766,676
Cluster_1,-147.0,0.3001029913212557,0.25716157007474744,676
Cluster_1,-146.0,0.29900216786070266,0.25697600687170163,676
Cluster_1,-145.0,0.2981675350033759,0.2564745968191461,676
Cluster_1,-144.0,0.29811846316351304,0.2555148241082047,676
Cluster_1,-143.0,0.297949976059781,0.2545455037277296,676
Cluster_1,-142.0,0.2983640322073177,0.2541336748129149,676
Cluster_1,-141.0,0.29905335001127603,0.25449057270288644,676
Cluster_1,-140.0,0.2999918759543433,0.255173079910396,676
Cluster_1,-139.0,0.3009782350762016,0.25554803980055923,676
Cluster_1,-138.0,0.3017268365398227,0.2553699829798063,676
Cluster_1,-137.0,0.3020792515576936,0.2549081499533932,676
Cluster_1,-136.0,0.30211696497969714,0.2546301436038773,676
Cluster_1,-135.0,0.3020830238089168,0.2548936478780635,676
Cluster_1,-134.0,0.3022462592350791,0.25576213156674776,676
Cluster_1,-133.0,0.3021004751244192,0.2564782801415797,676
Cluster_1,-132.0,0.3029350438495806,0.2569767770724227,676
Cluster_1,-131.0,0.3048788618280225,0.2569940742903365,676
Cluster_1,-130.0,0.30662656223788026,0.25666940253743614,676
Cluster_1,-129.0,0.3086229051827392,0.25676979035369285,676
Cluster_1,-128.0,0.31118233938707374,0.2572049089596132,676
Cluster_1,-127.0,0.3138649154059723,0.2579409085801911,676
Cluster_1,-126.0,0.31637959679826383,0.2588328035483259,676
Cluster_1,-125.0,0.31843778544827217,0.25986565462102285,676
Cluster_1,-124.0,0.3198043004780879,0.26100627169582774,676
Cluster_1,-123.0,0.3203512348258552,0.2621614427397616,676
Cluster_1,-122.0,0.3201753509056565,0.26320969759745383,676
Cluster_1,-121.0,0.31962399337130193,0.26391604383931794,676
Cluster_1,-120.0,0.3190996347824262,0.2639451015386582,676
Cluster_1,-119.0,0.31794259456831236,0.2628346129642781,676
Cluster_1,-118.0,0.31794068118220603,0.2617684934089576,676
Cluster_1,-117.0,0.3182551919842797,0.26129871742519023,676
Cluster_1,-116.0,0.3188512059968985,0.2612408776912777,676
Cluster_1,-115.0,0.3202317739206302,0.2613611272330993,676
