Behavior,Neuron_18,Neuron_30,Neuron_5,Neuron_13,Neuron_33,Neuron_36,Neuron_20,Neuron_55,Neuron_16,Neuron_24,Neuron_34,Neuron_41,Neuron_23,Neuron_28,Neuron_56,Neuron_25,Neuron_17,Neuron_6,Neuron_43,Neuron_31,Neuron_39,Neuron_10,Neuron_51,Neuron_45,Neuron_47,Neuron_3,Neuron_49,Neuron_58,Neuron_14,Neuron_15,Neuron_54,Neuron_2,Neuron_29,Neuron_38,Neuron_22,Neuron_42,Neuron_4,Neuron_21,Neuron_40,Neuron_12,Neuron_1,Neuron_9,Neuron_52,Neuron_35,Neuron_11,Neuron_27,Neuron_32,Neuron_7,Neuron_37,Neuron_50,Neuron_26,Neuron_8,Neuron_53,Neuron_44,Neuron_46,Neuron_19,Neuron_57,Neuron_48
CD1,6.936455689467477,3.7152401794164525,3.0565171780750724,2.7927002195210107,2.605708049684369,2.4846498295318264,2.3394032709161725,2.3156434624297537,2.201813783578578,2.097380369198693,2.089573403696552,2.051894093642063,1.927947728646479,1.8600019819012243,1.8343662054535803,1.7751693144753236,1.7362351912080927,1.7230809209597753,1.6719564726595346,1.5871652528830331,1.5741203421934746,1.540841810839785,1.482706919353964,1.316706679011569,1.2575961186445381,1.2247845059520932,1.2186951117752185,1.2182264225875776,1.2170593309181503,1.215862715429228,1.2041470692487628,1.178502641745359,1.1055821124226712,1.1005948560396908,1.087813216905549,0.9840016417862235,0.9800171269496423,0.9740473133842622,0.9517931695112228,0.8818699259018725,0.8802198394410466,0.8588309174920522,0.836627168886659,0.7952143616587608,0.77484140061053,0.7313746401645166,0.6024852446926388,0.4776832358847673,0.4489755765329553,0.36945645277835765,0.36099761578298206,0.3515488953283052,0.3304622983108802,0.16369740896818016,0.14871085796107888,0.06337958512838901,0.059788575839230064,0.008945769986862747
Stiff,1.032007331312589,0.3459084547036204,0.397375557064287,0.3004974339834717,1.2710726968882262,1.844191735449655,0.23069094193390446,0.001965827679470677,0.12246756948177975,0.049936368742097406,4.80119065298068,1.1631162242396884,0.7414794494541223,0.6259754601794103,0.3204051520503479,0.6925970561699357,0.7147300054088284,3.5874432835423975,0.4029583048815366,0.8337357188164193,0.7539470155314321,0.7673722168355781,0.6564069674205456,0.02423599965065818,0.9688419050663011,0.35524160259141185,0.11781545640610658,0.5509556259371816,0.22161376660321877,0.15973708707871787,0.21992648631013118,0.007415683448166886,0.32081022124281355,0.6142709171008164,0.7134670820225261,0.10869361662362516,0.8111437821751273,1.0265935833834248,0.9693658297982818,0.9473366745793773,0.2729533509922518,0.06424412884857668,0.11812191943606908,0.12582409407032813,0.9467134113329098,1.2664016505827442,0.7533448053049278,0.4199109086850591,0.5034825826543319,1.0864398208453916,0.9679567177719206,0.7399432735567849,1.2063150685407085,0.9833267014109316,0.21932103166189407,0.24196823909412374,0.29046628769154537,0.6329565798116717
Turn,1.548864452760865,2.2681016552533935,1.8049302566774372,4.038833418666212,0.4520367754068819,0.05948747672975172,3.061168843917242,2.281943504325902,2.571830685963917,1.9015868919104324,0.6737702892566264,0.2892393915518968,5.699249010818912,0.7359237058710212,1.1155554942132546,0.596136767890353,0.545839493485419,0.8065051751423566,0.8673354982812491,0.314515325745078,0.4037017112914779,3.5723309085458808,0.4494365597036226,1.2264624162281192,0.052054671593525344,0.6431594279312798,1.387396403625252,0.3895915201158318,0.8325864954295767,1.517902306665602,1.5259964937121364,1.153306614419789,0.581672889580976,0.2215828071212392,0.08078165700567753,0.7907193905865942,0.11557682928409681,0.3179167153841509,0.24746605834079996,1.8210657673602073,1.3205128549428353,0.7872838733722246,0.7540301634270492,0.9299052549821364,2.5926904344563066,0.7666556244215871,1.877987203049403,1.0354755072760322,1.1619414461591413,1.9961001224571255,0.8854028847904822,0.6316067790272978,1.1315265378921262,1.4873370161675277,0.45421864167795767,0.2687853593513264,0.41333880228060066,0.844789139825694
