neuron,behavior,calcium_events,duration_seconds,frequency_hz
n48,Open-arm-tremble,1,2724.0,0.0003671071953010279
n49,ALL,14,2999.0,0.004668222740913638
n49,Open-arm,0,204.0,0.0
n49,Open-arm-tremble,12,2724.0,0.004405286343612335
n50,ALL,11,2999.0,0.003667889296432144
n50,Open-arm,1,204.0,0.004901960784313725
n50,Open-arm-tremble,8,2724.0,0.002936857562408223
n51,ALL,8,2999.0,0.00266755585195065
n51,Open-arm,1,204.0,0.004901960784313725
n51,Open-arm-tremble,7,2724.0,0.0025697503671071953
n52,ALL,11,2999.0,0.003667889296432144
n52,Open-arm,0,204.0,0.0
n52,Open-arm-tremble,8,2724.0,0.002936857562408223
n53,ALL,9,2999.0,0.0030010003334444814
n53,Open-arm,3,204.0,0.014705882352941176
n53,Open-arm-tremble,8,2724.0,0.002936857562408223
n54,ALL,12,2999.0,0.0040013337779259755
n54,Open-arm,1,204.0,0.004901960784313725
n54,Open-arm-tremble,11,2724.0,0.004038179148311307
n55,ALL,11,2999.0,0.003667889296432144
n55,Open-arm,2,204.0,0.00980392156862745
n55,Open-arm-tremble,11,2724.0,0.004038179148311307
n56,ALL,14,2999.0,0.004668222740913638
n56,Open-arm,1,204.0,0.004901960784313725
n56,Open-arm-tremble,12,2724.0,0.004405286343612335
n57,ALL,7,2999.0,0.002334111370456819
n57,Open-arm,1,204.0,0.004901960784313725
n57,Open-arm-tremble,6,2724.0,0.0022026431718061676
n58,ALL,14,2999.0,0.004668222740913638
n58,Open-arm,1,204.0,0.004901960784313725
n58,Open-arm-tremble,11,2724.0,0.004038179148311307
n59,ALL,13,2999.0,0.004334778259419807
n59,Open-arm,1,204.0,0.004901960784313725
n59,Open-arm-tremble,16,2724.0,0.005873715124816446
n60,ALL,14,2999.0,0.004668222740913638
n60,Open-arm,1,204.0,0.004901960784313725
n60,Open-arm-tremble,13,2724.0,0.0047723935389133625
n61,ALL,5,2999.0,0.0016672224074691564
n61,Open-arm,1,204.0,0.004901960784313725
n61,Open-arm-tremble,5,2724.0,0.0018355359765051395
n62,ALL,9,2999.0,0.0030010003334444814
n62,Open-arm,1,204.0,0.004901960784313725
n62,Open-arm-tremble,6,2724.0,0.0022026431718061676
n63,ALL,12,2999.0,0.0040013337779259755
n63,Open-arm,1,204.0,0.004901960784313725
n63,Open-arm-tremble,11,2724.0,0.004038179148311307
n64,ALL,14,2999.0,0.004668222740913638
n64,Open-arm,1,204.0,0.004901960784313725
n64,Open-arm-tremble,14,2724.0,0.005139500734214391
n65,ALL,15,2999.0,0.005001667222407469
n65,Open-arm,2,204.0,0.00980392156862745
n65,Open-arm-tremble,12,2724.0,0.004405286343612335
n66,ALL,14,2999.0,0.004668222740913638
n66,Open-arm,1,204.0,0.004901960784313725
n66,Open-arm-tremble,13,2724.0,0.0047723935389133625
n67,ALL,17,2999.0,0.0056685561853951315
n67,Open-arm,1,204.0,0.004901960784313725
n67,Open-arm-tremble,15,2724.0,0.005506607929515419
