neuron,behavior,calcium_events,duration_seconds,frequency_hz
n27,Open,3,115.41666666666667,0.0259927797833935
n27,Open-Peer,0,32.91666666666667,0.0
n27,Middle-to-OpenPeer,1,7.5,0.13333333333333333
n27,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n27,Middle-Climb,0,2.5,0.0
n27,Rat-head-jamming,0,1.4583333333333335,0.0
n28,ALL,19,624.7916666666667,0.03041013671223741
n28,Middle,4,62.083333333333336,0.06442953020134227
n28,Close,11,384.7916666666667,0.02858689767190038
n28,Middle-to-Open,0,1.0416666666666667,0.0
n28,Open,3,115.41666666666667,0.0259927797833935
n28,Open-Peer,2,32.91666666666667,0.06075949367088607
n28,Middle-to-OpenPeer,0,7.5,0.0
n28,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n28,Middle-Climb,0,2.5,0.0
n28,Rat-head-jamming,0,1.4583333333333335,0.0
n29,ALL,11,624.7916666666667,0.01760586862287429
n29,Middle,1,62.083333333333336,0.01610738255033557
n29,Close,9,384.7916666666667,0.023389279913373036
n29,Middle-to-Open,0,1.0416666666666667,0.0
n29,Open,2,115.41666666666667,0.017328519855595668
n29,Open-Peer,1,32.91666666666667,0.030379746835443033
n29,Middle-to-OpenPeer,0,7.5,0.0
n29,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n29,Middle-Climb,0,2.5,0.0
n29,Rat-head-jamming,0,1.4583333333333335,0.0
n30,ALL,15,624.7916666666667,0.024008002667555848
n30,Middle,3,62.083333333333336,0.04832214765100671
n30,Close,11,384.7916666666667,0.02858689767190038
n30,Middle-to-Open,0,1.0416666666666667,0.0
n30,Open,3,115.41666666666667,0.0259927797833935
n30,Open-Peer,2,32.91666666666667,0.06075949367088607
n30,Middle-to-OpenPeer,0,7.5,0.0
n30,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n30,Middle-Climb,0,2.5,0.0
n30,Rat-head-jamming,0,1.4583333333333335,0.0
n31,ALL,12,624.7916666666667,0.01920640213404468
n31,Middle,1,62.083333333333336,0.01610738255033557
n31,Close,15,384.7916666666667,0.03898213318895506
n31,Middle-to-Open,0,1.0416666666666667,0.0
n31,Open,3,115.41666666666667,0.0259927797833935
n31,Open-Peer,1,32.91666666666667,0.030379746835443033
n31,Middle-to-OpenPeer,1,7.5,0.13333333333333333
n31,Middle-to-ClosePeer,0,1.6666666666666667,0.0
n31,Middle-Climb,0,2.5,0.0
n31,Rat-head-jamming,0,1.4583333333333335,0.0
n32,ALL,16,624.7916666666667,0.02560853617872624
n32,Middle,2,62.083333333333336,0.03221476510067114
n32,Close,10,384.7916666666667,0.025988088792636706
n32,Middle-to-Open,0,1.0416666666666667,0.0
n32,Open,4,115.41666666666667,0.034657039711191336
n32,Open-Peer,0,32.91666666666667,0.0
