cluster,mean,median,std,min,max
0,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0,0
3,1.2300884955752212,1.0,0.517701816367335,1,3
4,2.4705882352941178,2.0,1.4627733530362592,0,6
