Behavior,Neuron_58,Neuron_6,Neuron_9,Neuron_51,Neuron_12,Neuron_35,Neuron_23,Neuron_29,Neuron_44,Neuron_47,Neuron_19,Neuron_54,Neuron_22,Neuron_59,Neuron_24,Neuron_25,Neuron_32,Neuron_16,Neuron_33,Neuron_43,Neuron_39,Neuron_13,Neuron_17,Neuron_18,Neuron_37,Neuron_26,Neuron_7,Neuron_5,Neuron_41,Neuron_53,Neuron_28,Neuron_38,Neuron_55,Neuron_27,Neuron_34,Neuron_42,Neuron_30,Neuron_31,Neuron_4,Neuron_45,Neuron_40,Neuron_11,Neuron_1,Neuron_52,Neuron_36,Neuron_48,Neuron_10,Neuron_20,Neuron_8,Neuron_15,Neuron_56,Neuron_50,Neuron_46,Neuron_14,Neuron_57,Neuron_2,Neuron_60,Neuron_49,Neuron_21,Neuron_3
CD1,6.708786724961608,4.065813164044207,3.7998186905190425,3.789336895973169,3.6831693675306223,2.654737527388672,2.4632286253946836,2.291628194692092,1.9413981491312267,1.7570090463340435,1.7567643872828511,1.715500750947521,1.6195569960972929,1.5834297944815996,1.5479838931917242,1.5128089763681185,1.4656910766649986,1.3709730839386878,1.3639023200154108,1.3143296680052503,1.2846205644651068,1.261974395688957,1.2599921097369884,1.2580527039280642,1.2405010594981527,1.2315160833524608,1.143788203012832,1.136045001149904,1.1163351596297688,1.107693935550679,1.0878919923850214,1.0830295434173522,1.0508995044323584,0.9965647259780122,0.9908139998510451,0.9411310739799852,0.8896104758083601,0.8611189010407224,0.817210030497846,0.7511197265860945,0.6765601045293556,0.6564474721723484,0.6381854350975458,0.6026509775655915,0.5538100083744699,0.5505256105104157,0.5052904431018838,0.4873734312692927,0.46421465581698995,0.4340972164683481,0.3847556171284697,0.3758490342683638,0.3047277896317737,0.2732023152010178,0.2443353216334514,0.21310125581976158,0.19029979897487664,0.12608116877397826,0.11234286815881325,0.01835232658543804
Exp,0.20993236909581933,0.012478108329981636,0.23613429516591328,0.48759292214582506,0.5122661635786325,0.07681361542671626,0.003735239604944143,0.4720345875750226,0.26548711559899063,0.0005925770617398242,0.35248024633510483,0.2413843861525274,0.14165271570202356,0.19260476721452674,0.2700179855233502,1.0058542101985533,0.06651134999036497,0.1546457533638766,0.04842239575873276,0.8571107889456956,0.2131693978390066,0.3478088941502751,0.4851668345271373,0.08300154997343002,0.010175627258966034,0.40744245487841946,0.1052915156962384,0.111491374639632,0.5579276490801844,0.10345083246948342,0.5946137652751421,0.6922691139697882,0.27703220676640145,0.4743214661197076,0.5683382419646518,0.12665360462652775,0.3705966597608417,0.02143828510769421,0.38534484069186,0.2214762854360721,0.6287745991747898,0.30014021270277913,0.5453353739240134,0.5956031331360491,0.7573668926295899,0.20288830576803188,0.25735228217304124,0.21520676690599141,0.7659960915709721,0.37197717833227073,0.28308093416585456,0.18575138188202892,0.13960771101726596,0.5762277106368189,0.016685942454317003,0.9438620403724295,0.10551610529541731,0.003680577367010499,0.28249423490838743,0.20137870042357628
Gro,0.4886444600686459,0.7835015925339858,0.4760023076500734,0.06313270290382333,0.012474111668313154,0.2973030480739385,0.5749808719549481,0.14971343186904254,0.014666309963911633,0.07770500837000291,1.0077271354631423,0.0403546595275708,0.35542559493281123,0.33930415769628997,0.7111922216859146,0.6159524689136298,0.729993119726623,0.16793912723936683,0.11556616172581906,0.5255174414165992,1.0275554984609025,0.759600241017083,0.23376641118563113,0.13412007389745345,0.8512606411443782,0.39219786814803204,0.6263053412282716,0.3834787360903055,0.14840232812988274,0.3465845953313786,0.5251155999331887,0.904190279762373,0.12951853281790024,0.7113784427267169,1.0354828589021254,0.9529761769949172,0.37672189471377115,0.6461390099455362,0.7119075565803495,1.2285943026604507,1.094816164387881,0.08204817490065133,0.2074967167245748,0.2801525778632659,0.5786304274878897,0.08747681210764026,0.22574181338488206,1.1659925856187532,0.4578117349354842,0.16211975277080778,1.035476724057326,1.3516500105303302,0.41004918934131956,0.10030999842878571,1.1293209451023867,0.5438264156715223,0.25614974665333845,1.0073001082110788,2.324171344836229,0.7414624800226921
Scra,1.1924791677235382,0.6029296151958515,1.6827348624584935,0.3957054630393096,1.586348042458875,1.5099509458423288,0.15800561586268352,0.18341896353361856,1.0766473018064582,0.11711848992072725,0.18258622264711313,0.7443201489000445,0.2669254709019717,0.3579566169402806,4.629344201267545,1.240332871593986,1.5674027745202486,0.18915079294821044,0.038732718178463715,1.0931725940865336,0.1742589576569456,0.15585503549093893,0.7312145876491836,0.2464970661999766,2.0894633694850575,0.40154207993417385,1.396940090147155,2.918731924734668,0.21880320105710258,0.027570010584664056,0.24470723624160506,1.0182605268748977,0.9263567316674202,0.14966357256205448,1.4136529238372717,0.39203446028899924,4.706432882641684,0.7484248651394557,3.2062135160184067,0.20381565128511733,0.9099601437894803,1.2987030523599112,0.9934710559943271,0.6462976169487558,0.6853539590185144,0.9868057882014936,0.6261854192947023,0.39669312236475107,0.06718789746371004,0.12952815728536868,0.5837080694815304,0.8343450008662768,1.0887865255838027,1.5760138005051636,0.6317215767185764,1.7085950673019914,1.2081594777060765,0.5179744196385803,1.423078297817145,0.40409321636915163
Sta,0.328555876407243,0.05831650999879507,1.5796889387077346,0.7203293305524481,1.2387150423211606,1.1140259586297125,0.9842783327729582,1.6648914053259098,0.859151903972005,1.0220622197840408,0.5738920002363603,1.5742461445394715,0.5446739276285392,0.8636457152632759,0.03928253895808418,0.3477023729475923,0.18781805573681448,1.4144487022258765,0.4406406293328385,1.48184288381928,0.07077208797370343,0.7799880692413904,0.9757991583825448,1.543570354142928,0.7364638864924409,1.082517059287778,1.6097938956928324,0.12786392349610418,1.510687262466036,1.3190624813368836,0.022747775031204277,0.5836183468646853,0.9389571370632418,0.10459204215134664,0.6507402593061068,0.06623910552407687,0.18423139178743483,0.7779788545536622,0.15622668016858576,0.06657962790642237,0.39009274354687695,0.8887736275983684,1.3590678782914551,0.5555260765686273,0.42436643803855756,0.4739812655018688,0.8504300797842267,0.7580856263671476,0.5143619593084421,0.080824699632676,0.7350918143053472,0.19304560594745857,0.660049662932172,0.471441783113141,0.5366675830224268,0.23869276286684066,1.1764299838516705,0.05508546708523071,1.2887020602906614,0.06660226111861416
Trem,0.8386305902321771,1.2639493022894415,0.6590029071938011,0.7472655751532788,0.6562917037765362,0.5866695526588502,0.021139256998143025,0.3090247921299177,0.8484263763626181,0.8604874761665828,0.9800994370791345,0.8769888463666842,1.2438931370278083,0.8246272299566529,0.46034151189705713,1.5677907052909317,0.6026170882816684,2.2355483694723484,1.138023066465452,1.2610147448267626,0.46252960005749727,0.08168995253942249,0.04027696388609124,0.6719816028834716,0.49364824838045057,0.01031293269144015,0.02802365917919156,1.057283994126402,1.522255756941646,1.6551780652970463,0.5220410997921687,0.03443844550208227,0.22795298139073916,1.0037162450169634,1.776961036647054,0.7687385467487212,1.6204375595101066,1.1133325818434423,1.0310543232208096,0.8602244581402876,0.2092871982323955,2.182548762890757,1.0021660237309968,0.2510494680278088,0.31427816881345544,0.12375123164752722,0.1464276322038731,0.0810675032979745,0.05937198843063532,0.28674250446065425,0.9044119042314743,0.4657465352246354,1.4303468819150336,3.401612143839832,0.7066028612596631,0.796005220563183,2.110895051401234,0.48911806656966644,0.7901377841207857,0.9732162829959622
