behavior,total_calcium_events,duration_seconds,frequency_hz,neuron_count,avg_frequency_per_neuron
ALL,576,624.7916666666667,0.9219073024341446,42,0.021950173867479633
Open-arm,107,85.83333333333334,1.2466019417475727,42,0.029680998613037444
Middle,65,46.66666666666667,1.3928571428571428,42,0.033163265306122444
Close-arm,256,231.66666666666669,1.1050359712230216,42,0.0263103802672148
Close-arm-Stand,19,11.458333333333334,1.6581818181818182,42,0.039480519480519484
Open-arm-probe,54,26.25,2.057142857142857,42,0.04897959183673469
Close-arm-excrete,6,3.125,1.92,42,0.045714285714285714
Close-arm-stiff,136,126.875,1.0719211822660097,42,0.02552193291109547
Close-arm-groom,65,53.958333333333336,1.2046332046332047,42,0.028681742967457253
Middle-stiff,4,7.291666666666667,0.5485714285714286,42,0.013061224489795919
Middle-probeOpen,3,3.9583333333333335,0.7578947368421053,42,0.01804511278195489
Open-arm-Clime,0,1.0416666666666667,0.0,42,0.0
Close-arm-scratch,4,2.7083333333333335,1.4769230769230768,42,0.035164835164835165
Middle-Clime,18,4.166666666666667,4.319999999999999,42,0.10285714285714284
Middle-Stand,13,3.125,4.16,42,0.09904761904761905
