cluster,mean,median,std,min,max
0,0.0,0.0,0.0,0,0
1,2.2285714285714286,2.0,1.436616005137938,0,8
2,0.0,0.0,0.0,0,0
3,0.0,0.0,0.0,0,0
4,1.2253521126760563,1.0,0.46728985032350434,1,3
