cluster,mean,median,std,min,max
0,0.0,0.0,0.0,0,0
1,1.2444444444444445,1.0,0.43461349368017665,1,2
2,0.011111111111111112,0.0,0.10540925533894598,0,1
3,0.0,0.0,0.0,0,0
