stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29
255,-0.481,-0.171,0.17,-0.026,-0.141,0.265,1.827,-0.726,0,-0.049,-0.477,0.161,0.081,0.812,-0.322,0.158,-0.389,0.486,-0.391,-0.188,-0.282,-0.429,-0.573,-0.614,-0.174,-0.549,-0.144,0.017,0.051
256,-0.471,-0.04,0.216,0.071,0.007,0.205,2.021,-0.63,-0.036,0,-0.36,0.35,0.196,1.016,-0.136,0.305,-0.285,0.779,-0.263,0.084,-0.336,-0.362,-0.586,-0.534,-0.316,-0.424,-0.058,0.06,0.091
257,-0.498,-0.096,0.11,-0.052,-0.06,0.404,1.678,-0.746,0,-0.143,-0.461,0.124,0.242,0.86,-0.337,0.201,-0.405,0.42,-0.395,-0.164,-0.481,-0.473,-0.566,-0.661,-0.248,-0.422,-0.198,0.036,0.041
258,-0.458,-0.146,0.27,0.154,-0.035,0.145,2.15,-0.574,-0.017,0,-0.382,0.455,0.28,1.111,0.002,0.393,-0.237,0.7,-0.349,-0.01,-0.35,-0.36,-0.606,-0.558,-0.082,-0.464,-0.015,-0.109,-0.002
259,-0.508,-0.247,0.177,-0.057,-0.162,0.174,1.68,-0.61,0,-0.144,-0.534,0.24,0.369,0.844,-0.279,0.332,-0.421,0.542,-0.33,-0.13,-0.419,-0.403,-0.687,-0.668,-0.278,-0.598,-0.12,0.02,0.014
260,-0.431,0.053,0.097,0.136,0.078,0.506,2.027,-0.831,0,-0.081,-0.453,0.382,0.792,1.034,-0.077,0.387,-0.274,0.68,-0.149,0.007,-0.377,-0.46,-0.531,-0.557,-0.134,-0.364,0.105,0.18,0.031
261,-0.523,-0.198,0.07,-0.058,-0.191,0.097,1.488,-0.769,0,-0.154,-0.485,0.155,0.696,0.813,-0.3,0.215,-0.434,0.54,-0.408,-0.096,-0.421,-0.427,-0.634,-0.579,-0.32,-0.525,-0.138,-0.175,0.014
262,-0.483,-0.14,0.286,0.139,-0.021,0.356,1.859,-0.595,0,-0.059,-0.389,0.579,0.988,1.062,-0.056,0.275,-0.34,0.599,-0.23,0.091,-0.418,-0.335,-0.601,-0.554,-0.172,-0.445,-0.044,0.208,0.064
263,-0.419,-0.021,0.227,0.152,0.019,0.289,2.054,-0.652,0,-0.084,-0.445,0.515,1.216,0.978,-0.184,0.35,-0.367,0.479,-0.229,0.042,-0.402,-0.314,-0.615,-0.571,-0.068,-0.389,-0.002,0.18,0.081
264,-0.469,-0.081,0.061,0.132,-0.16,0.35,1.441,-0.656,0,-0.043,-0.444,0.233,0.513,0.919,-0.268,0.126,-0.345,0.488,-0.418,-0.115,-0.455,-0.44,-0.686,-0.591,-0.297,-0.477,0.048,-0.197,-0.315
265,-0.522,-0.095,0.035,0.036,-0.206,0.041,1.504,-0.593,0,-0.126,-0.44,0.23,0.577,0.884,-0.243,0.163,-0.336,0.446,-0.476,-0.12,-0.513,-0.47,-0.634,-0.693,-0.321,-0.471,-0.082,-0.151,-0.149
