stamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29
328,1.16,0.246,-0.008,0.098,-0.095,0.002,1.344,-0.134,-0.096,0,-0.231,0.865,0.476,1.082,1.009,0.217,0.739,0.312,-0.252,0.01,-0.607,-0.324,-0.628,-0.715,-0.244,-0.521,0.066,0.098,-0.11
329,1.248,0.321,-0.003,0.109,-0.203,-0.025,1.657,0.062,-0.11,0,-0.173,0.782,0.431,1.204,1.07,0.526,0.462,0.271,-0.136,0.13,-0.58,-0.375,-0.685,-0.668,-0.081,-0.387,0,0.259,-0.078
330,1.061,0.259,-0.029,0.182,-0.174,-0.082,1.422,0.166,0,-0.118,-0.249,0.65,0.423,1.045,1.145,0.467,0.673,0.207,-0.208,0.117,-0.74,-0.39,-0.646,-0.635,-0.185,-0.508,-0.004,0.101,0.004
331,1.356,0.806,-0.014,0.407,-0.003,0,1.142,-0.104,0.003,-0.359,-0.233,0.789,0.277,1.118,0.804,0.192,1.514,0.383,-0.348,0.188,-0.593,-0.429,-0.566,-0.381,-0.101,-0.299,-0.066,0.009,-0.06
332,1.633,0.965,0.041,0.404,-0.005,0.112,2,-0.056,-0.054,0,-0.117,0.932,0.435,1.174,1.278,0.542,1.16,0.425,-0.162,0.216,-0.433,-0.206,-0.592,-0.584,0.041,-0.203,0.238,0.393,0.017
333,1.016,0.586,-0.094,0.242,-0.241,-0.165,1.362,0.126,0,-0.216,-0.393,0.709,0.32,0.88,0.865,0.254,0.432,0.196,-0.291,0.026,-0.668,-0.378,-0.71,-0.607,-0.293,-0.516,-0.008,0.075,-0.095
334,1.239,0.727,0.135,0.252,-0.124,0.023,1.758,0,-0.001,-0.114,-0.353,0.881,0.441,1.199,1.19,0.335,0.667,0.436,-0.184,0.171,-0.601,-0.325,-0.617,-0.519,-0.17,-0.484,0.095,0.174,-0.106
335,0.995,0.763,-0.068,0.263,-0.094,0,1.457,0.144,-0.071,-0.113,-0.28,0.845,0.336,1.028,0.989,0.398,0.809,0.224,-0.249,0.155,-0.669,-0.421,-0.633,-0.605,-0.189,-0.603,0.21,0.123,-0.142
336,1.469,1.157,0.159,0.499,0.035,0.18,1.416,-0.049,0,-0.206,-0.297,1.121,0.429,1.354,1.149,0.399,1.398,0.347,-0.327,0.305,-0.464,-0.425,-0.537,-0.558,-0.009,-0.321,0.366,0.209,-0.028
337,1.322,1.145,0.115,0.395,0.085,0.108,1.853,-0.017,-0.051,0,-0.269,1.172,0.515,1.324,1.342,0.488,1.047,0.366,-0.085,0.149,-0.522,-0.303,-0.567,-0.533,-0.022,-0.447,0.214,0.347,0.029
338,1.029,0.693,-0.093,0.287,-0.167,0,1.67,0.076,-0.015,-0.122,-0.158,1.071,0.427,1.028,0.95,0.457,0.75,0.288,-0.191,0.076,-0.695,-0.404,-0.631,-0.625,-0.139,-0.45,0.126,0.089,-0.008
339,1.148,1.269,0.073,0.272,-0.165,-0.03,1.918,0.181,0,-0.075,-0.356,1.188,0.443,1.278,1.238,0.599,0.903,0.47,-0.217,0.187,-0.573,-0.346,-0.57,-0.494,-0.143,-0.386,0.219,0.152,-0.015
340,0.95,0.792,-0.11,0.098,-0.31,-0.202,1.417,0.103,0,-0.211,-0.346,0.924,0.241,0.984,0.872,0.292,0.514,0.261,-0.241,0.05,-0.608,-0.377,-0.637,-0.613,-0.198,-0.448,-0.071,-0.221,-0.128
341,1.265,2.027,0.031,1.128,0.448,0.201,0.925,-0.226,-0.021,0,-0.17,1.174,0.755,1.845,1.414,0.517,1.821,0.821,-0.167,0.685,-0.246,-0.289,-0.391,-0.48,0.031,-0.198,0.537,0.196,0.124
342,0.947,1.128,-0.105,0.306,-0.163,0,1.416,0.2,-0.088,-0.065,-0.302,0.909,0.458,1.004,1.149,0.809,1.032,0.191,-0.346,0.146,-0.549,-0.258,-0.538,-0.63,-0.158,-0.528,0.183,0.249,-0.09
343,0.881,0.975,-0.224,0.105,-0.261,-0.106,1.276,0.032,0,-0.159,-0.478,0.817,0.258,0.925,1.094,0.685,0.638,0.134,-0.324,0.004,-0.558,-0.383,-0.582,-0.598,-0.227,-0.457,-0.148,0.125,-0.143
344,0.995,1.238,0.01,0.211,-0.208,-0.079,1.356,0.195,0,-0.114,-0.267,1.082,0.436,0.981,1.12,0.856,0.72,0.26,-0.188,0.119,-0.57,-0.243,-0.61,-0.584,-0.25,-0.389,0.052,0.087,-0.192
345,1.109,1.427,-0.148,0.412,-0.212,0.084,1.095,-0.109,-0.026,0,-0.03,0.909,0.238,1.032,1.136,0.783,1.233,0.201,-0.336,0.23,-0.707,-0.301,-0.57,-0.57,-0.056,-0.285,0.104,0.119,-0.206
346,0.923,1.242,-0.18,0.047,-0.278,0,1.322,0.171,-0.001,-0.185,0.139,0.907,0.43,0.878,1.278,1.029,0.788,0.168,-0.261,0.17,-0.536,-0.398,-0.594,-0.539,-0.138,-0.425,0.013,0.088,-0.15
347,0.981,1.322,-0.039,0.282,-0.134,-0.012,1.653,0.266,0,-0.176,0.217,1.074,0.502,1.168,1.397,1.251,0.777,0.264,-0.133,0.163,-0.646,-0.121,-0.625,-0.525,-0.221,-0.341,0.143,0.138,-0.055
348,0.886,1.317,-0.068,0.214,-0.229,-0.175,1.056,0.103,-0.039,0,0.16,1.087,0.412,0.964,1.337,1.369,0.884,0.222,-0.165,0.207,-0.603,-0.267,-0.554,-0.61,-0.23,-0.44,0.033,0.164,-0.066
349,1.005,1.335,-0.069,0.271,-0.024,-0.061,1.394,0,0.116,-0.105,0.303,1.013,0.346,1.13,1.268,1.668,0.939,0.419,-0.209,0.155,-0.627,-0.114,-0.55,-0.482,-0.206,-0.404,0.122,-0.127,-0.091
350,1.027,1.18,-0.146,0.202,-0.225,-0.038,0.999,0,0.169,-0.201,0.341,0.908,0.314,0.904,1.14,1.054,1.018,0.04,-0.336,0.129,-0.705,-0.242,-0.599,-0.551,-0.241,-0.511,0.031,-0.067,-0.347
351,0.785,1.194,-0.131,0.109,-0.086,0,0.902,-0.41,0.037,-0.222,0.166,0.823,0.332,0.958,1.202,1.119,1.288,0.314,-0.372,0.214,-0.411,-0.272,-0.504,-0.608,-0.025,-0.495,-0.013,0.017,-0.174
352,0.971,1.241,-0.086,0.222,-0.145,0,1.561,-0.012,0.222,-0.085,0.4,0.848,0.524,1.297,1.319,1.809,0.703,0.318,-0.172,0.139,-0.509,-0.065,-0.63,-0.549,-0.092,-0.485,0.159,0.348,-0.023
353,0.832,1.166,-0.044,0.201,-0.162,0,1.091,-0.065,0.545,-0.166,0.378,1.015,0.482,0.996,1.356,1.651,0.762,0.362,-0.231,0.098,-0.574,-0.117,-0.575,-0.511,-0.211,-0.422,0.06,0.11,-0.062
354,0.718,1.173,-0.045,-0.058,-0.287,0,0.901,-0.11,0.382,-0.229,0.161,0.76,0.486,0.8,1.241,1.359,0.997,0.166,-0.407,0.184,-0.472,-0.261,-0.457,-0.532,-0.135,-0.364,0.01,0.031,-0.064
355,0.585,1.023,-0.147,0.01,-0.207,-0.085,0.954,0,0.24,-0.298,0.061,0.546,0.364,0.61,1.092,1.526,0.9,0.08,-0.293,-0.025,-0.58,-0.168,-0.493,-0.614,-0.233,-0.516,-0.109,-0.154,-0.227
356,0.912,1.29,-0.004,0.138,-0.009,-0.028,1.524,0,0.492,-0.102,0.333,0.818,0.485,1.172,1.398,2.083,0.97,0.323,-0.041,0.279,-0.619,-0.176,-0.442,-0.411,-0.063,-0.445,0.239,0.192,0.062
357,0.732,1.099,0.021,0.118,-0.223,0,1.393,-0.018,0.388,-0.169,0.361,0.81,0.362,0.986,1.381,1.925,0.956,0.141,-0.119,0.187,-0.554,-0.093,-0.551,-0.251,-0.064,-0.41,-0.007,0.162,-0.053
358,0.727,1.055,-0.106,0.028,-0.06,-0.041,1.251,0,0.438,-0.139,0.21,0.767,0.414,0.946,1.41,1.841,0.806,0.179,-0.045,0.165,-0.529,-0.179,-0.541,-0.255,-0.04,-0.39,0.128,0.099,-0.045
359,0.518,0.833,-0.23,-0.057,-0.326,-0.195,0.899,0,0.249,-0.241,0.078,0.425,0.172,0.701,1.041,1.556,0.571,0.121,-0.225,-0.072,-0.657,-0.327,-0.684,-0.357,-0.212,-0.404,-0.179,0.049,-0.242
360,0.652,0.886,-0.139,0.005,-0.23,-0.179,1.095,0,0.383,-0.203,0.185,0.684,0.375,0.633,1.357,1.973,0.416,0.106,-0.095,0.113,-0.606,-0.159,-0.586,-0.2,-0.146,-0.48,-0.143,-0.149,-0.137
361,0.917,1.68,-0.048,0.307,0.143,-0.071,1.057,-0.235,0.924,0,0.208,0.882,0.677,1.211,1.996,2.507,2.198,0.541,-0.002,0.256,-0.551,0.054,-0.367,-0.195,-0.026,-0.198,0.301,0.316,0.203
362,0.912,1.052,-0.136,0.099,-0.135,-0.063,1.326,0,0.454,-0.081,0.297,0.904,0.549,1.042,1.814,2.569,0.911,0.302,0.095,0.197,-0.534,-0.102,-0.574,-0.163,-0.018,-0.571,0.063,0.315,0.119
363,0.79,0.865,-0.119,0.076,-0.288,-0.026,1.194,0,0.433,-0.05,0.319,0.722,0.374,0.972,1.696,2.479,0.731,0.287,0.063,0.367,-0.708,-0.198,-0.565,-0.119,-0.165,-0.382,0.007,0.184,-0.097
364,0.513,0.808,-0.195,-0.046,-0.298,-0.259,0.97,0,0.052,-0.222,0.085,0.506,0.379,0.721,1.078,2.094,0.418,0.044,-0.052,-0.014,-0.607,-0.248,-0.636,-0.234,-0.241,-0.472,0,0.063,-0.216
365,0.727,1.052,0.158,0.089,-0.219,-0.049,1.034,0,0.476,-0.074,0.136,0.904,0.424,0.936,1.51,2.285,0.976,0.309,0.08,0.131,-0.469,-0.248,-0.499,-0.385,-0.129,-0.467,0.005,-0.146,-0.229
366,0.935,1.449,0.354,0.395,-0.058,-0.013,1.741,-0.202,0.623,0,0.182,0.684,0.944,1.315,1.729,3.164,1.112,0.354,0.129,0.391,-0.664,0.069,-0.497,0.081,0.034,-0.39,0.166,0.28,0.199
367,0.8,1.015,0.26,0.185,-0.243,-0.009,1.389,0,0.489,-0.071,0.279,0.624,0.504,1.057,1.613,2.705,0.881,0.385,0.156,0.328,-0.531,-0.13,-0.636,0.024,-0.095,-0.457,-0.085,0.294,0.058
368,0.707,0.903,0.219,0.063,-0.209,-0.049,1.271,-0.082,0.534,0,0.298,0.852,0.542,0.975,1.507,2.658,0.826,0.154,0.09,0.173,-0.632,-0.069,-0.486,-0.071,-0.045,-0.472,-0.001,0.223,-0.11
369,0.672,1.015,0.337,0.261,-0.173,0,0.834,-0.368,0.401,-0.228,0.198,0.531,0.35,0.801,1.327,2.571,1.151,0.14,-0.096,0.119,-0.604,-0.253,-0.593,-0.274,-0.121,-0.471,-0.025,0.166,-0.206
370,0.591,0.561,0.312,-0.055,-0.349,-0.176,0.848,0,0.261,-0.273,0.098,0.465,0.244,0.513,1.034,2.268,0.31,-0.061,-0.067,0.065,-0.674,-0.36,-0.619,-0.22,-0.153,-0.429,-0.194,0.067,-0.122
371,0.735,0.92,0.467,0.346,-0.274,-0.071,1.059,0,0.394,-0.062,0.179,0.848,0.515,0.837,1.441,3.086,0.613,0.11,0.055,0.216,-0.679,-0.107,-0.464,0.065,0.143,-0.498,0.081,0.193,-0.209
372,0.61,0.982,0.536,0.119,-0.238,-0.122,1.19,0,0.265,-0.109,0.319,0.684,0.349,0.753,1.492,3.06,0.828,0.321,0.068,0.361,-0.571,-0.101,-0.558,0.026,-0.121,-0.456,0.021,0.257,-0.038
373,0.674,1.199,0.837,0.259,-0.235,-0.04,1.042,-0.017,0.538,0,0.234,0.757,0.376,0.906,2.121,2.82,1.309,0.237,0.044,0.349,-0.446,0.083,-0.49,0.058,0.063,-0.397,0.035,0.038,-0.101
374,0.277,0.487,0.366,0.154,-0.343,-0.287,0.643,0,0.197,-0.281,-0.097,0.37,0.155,0.646,1.075,2.272,0.668,-0.015,-0.227,-0.064,-0.66,-0.307,-0.66,-0.29,-0.223,-0.619,-0.245,0.017,-0.264
375,0.301,0.45,0.43,0.06,-0.49,-0.323,0.673,0.248,0,-0.242,-0.103,0.252,-0.007,0.614,0.748,1.932,0.323,0.031,-0.097,-0.082,-0.776,-0.358,-0.657,-0.143,-0.186,-0.512,-0.168,0.031,-0.353
376,0.268,0.443,0.493,0.047,-0.382,-0.275,0.598,0.181,0,-0.453,-0.064,0.284,0.147,0.55,0.948,2,0.549,-0.016,-0.094,-0.013,-0.639,-0.452,-0.641,-0.319,-0.181,-0.541,-0.203,-0.088,-0.208
377,0.26,0.522,0.484,0.24,-0.436,-0.373,0.509,0.053,0,-0.264,-0.28,0.094,-0.083,0.335,0.998,1.81,0.594,-0.035,-0.168,-0.072,-0.814,-0.267,-0.676,-0.3,-0.26,-0.645,-0.205,-0.355,-0.415
378,0.139,0.436,0.488,0.314,-0.433,-0.299,0.454,0.323,0,-0.282,-0.105,0.238,-0.012,0.397,0.961,1.6,0.459,0.131,-0.35,-0.03,-0.794,-0.39,-0.669,-0.227,-0.419,-0.52,-0.272,-0.276,-0.295
379,0.071,0.346,0.426,0.15,-0.362,-0.361,0.465,0.349,0,-0.254,0.046,0.167,-0.077,0.266,0.685,1.702,0.393,-0.051,-0.345,-0.181,-0.748,-0.401,-0.668,-0.282,-0.27,-0.534,-0.275,-0.096,-0.399
380,0.192,0.363,0.416,-0.003,-0.462,-0.428,0.43,0.428,0,-0.274,-0.059,0.244,-0.06,0.37,0.666,1.842,0.113,-0.128,-0.291,-0.135,-0.73,-0.433,-0.687,-0.15,-0.381,-0.59,-0.278,-0.191,-0.391
381,0.615,1.093,1.046,1,0.127,-0.138,0.993,0,0.387,-0.266,-0.182,0.57,0.404,1.256,2.289,2.502,1.403,0.477,0.091,0.486,-0.394,0.176,-0.376,0.387,-0.056,-0.476,0.112,0.208,-0.156
382,0.2,0.457,0.288,0.248,-0.444,-0.373,0.384,0.358,0,-0.319,-0.206,0.058,-0.006,0.339,0.677,1.589,0.373,-0.019,-0.242,0.051,-0.678,-0.462,-0.684,-0.189,-0.355,-0.662,-0.286,-0.237,-0.272
383,0.002,0.18,0.475,0.15,-0.472,-0.412,0.376,0.518,0,-0.371,-0.12,0.048,-0.075,0.3,0.749,1.485,0.374,-0.021,-0.291,-0.022,-0.615,-0.396,-0.627,-0.27,-0.3,-0.653,-0.382,-0.099,-0.298
384,0.061,0.136,0.101,-0.097,-0.44,-0.492,0.275,0.676,0,-0.35,-0.267,0.152,-0.133,0.102,0.87,1.242,0.158,-0.218,-0.362,-0.208,-0.831,-0.465,-0.726,-0.435,-0.342,-0.68,-0.299,-0.3,-0.479
385,0.321,0.655,0.852,0.969,-0.379,-0.258,0.675,0.758,0,-0.174,-0.019,0.507,0.159,0.607,1.157,2.521,0.637,0.128,-0.101,0.216,-0.541,-0.216,-0.506,-0.207,0.009,-0.486,-0.088,0.191,-0.044
386,0.074,0.401,0.379,0.28,-0.454,-0.379,0.439,0.88,0,-0.181,-0.175,0.091,0.06,0.248,0.762,1.808,0.086,-0.06,-0.258,0.019,-0.714,-0.297,-0.644,-0.227,-0.294,-0.683,-0.305,-0.071,-0.35
387,0.174,0.33,0.601,0.55,-0.327,-0.212,0.736,1.113,0,-0.175,-0.054,0.186,0.088,0.394,0.788,2.161,0.49,0.217,-0.135,0.184,-0.673,-0.28,-0.569,-0.181,-0.224,-0.565,-0.183,0.07,-0.303
388,-0.166,0.014,0.077,-0.135,-0.516,-0.536,0.069,0.655,0,-0.406,-0.378,0.205,-0.292,0.044,0.609,0.938,0.223,-0.232,-0.449,-0.267,-0.818,-0.489,-0.677,-0.578,-0.443,-0.661,-0.316,-0.283,-0.516
389,0.015,0.481,0.476,1.059,-0.275,-0.404,0.481,0.052,0,-0.325,-0.229,0.041,0.097,0.34,0.901,1.875,0.643,-0.062,-0.222,0.138,-0.477,-0.32,-0.6,-0.25,-0.147,-0.495,-0.205,-0.047,-0.235
390,0.016,0.361,0.429,0.654,-0.359,-0.261,0.458,0.848,0,-0.25,-0.26,0.315,-0.078,0.421,0.755,1.825,0.217,0.044,-0.246,0.04,-0.695,-0.271,-0.627,-0.132,-0.285,-0.497,-0.102,-0.046,-0.172
391,0.088,0.204,0.405,0.467,-0.438,-0.284,0.665,1.134,0,-0.176,0.055,0.314,-0.019,0.341,0.594,1.831,0.057,-0.035,-0.236,0.053,-0.686,-0.319,-0.635,-0.272,-0.176,-0.622,-0.311,0.084,-0.192
392,0.125,0.302,0.382,0.4,-0.453,-0.318,0.481,1.118,0,-0.311,-0.291,0.197,-0.059,0.517,0.759,1.761,0.171,0.003,-0.162,-0.046,-0.679,-0.343,-0.6,-0.402,-0.279,-0.624,-0.29,-0.219,-0.164
393,0.233,0.593,0.691,1.086,-0.25,-0.359,0.467,0.488,0,-0.098,-0.071,0.292,-0.002,0.684,1.34,1.828,0.971,0.214,-0.117,0.184,-0.57,-0.177,-0.419,-0.265,-0.034,-0.555,0.04,0.145,-0.17
394,0.149,0.577,0.555,0.741,-0.284,-0.161,0.415,0.582,0,-0.298,-0.242,0.198,0.108,0.663,1.104,2.129,0.645,0.127,-0.147,0.093,-0.379,-0.33,-0.496,-0.132,-0.103,-0.576,-0.147,0.192,-0.071
395,0.089,0.235,0.551,0.504,-0.321,-0.299,0.59,1.305,0,-0.257,-0.099,0.262,0.108,0.543,0.712,1.995,0.303,0.037,-0.17,0.066,-0.573,-0.285,-0.627,-0.138,-0.236,-0.536,-0.161,0.125,-0.232
396,0.104,0.389,0.496,0.547,-0.34,-0.315,0.492,1.3,0,-0.131,-0.186,0.344,0.196,0.477,0.842,1.856,0.277,0.064,-0.163,0.098,-0.692,-0.262,-0.629,-0.211,-0.176,-0.613,-0.127,0.202,-0.238
397,0.192,0.385,0.583,0.561,-0.325,-0.247,0.655,1.59,0,-0.204,-0.081,0.427,0.012,0.56,0.915,1.88,0.299,0.232,-0.053,0.066,-0.723,-0.298,-0.644,-0.316,-0.155,-0.48,-0.104,0.036,-0.235
398,0.113,0.375,0.466,0.535,-0.378,-0.393,0.191,0.56,0,-0.228,-0.364,-0.009,-0.098,0.261,0.681,1.484,0.452,0.012,-0.272,0.021,-0.7,-0.382,-0.619,-0.289,-0.268,-0.55,-0.075,0.082,-0.323
399,0.173,0.491,0.56,0.738,-0.198,-0.21,0.603,1.231,0,-0.16,-0.05,0.294,0.066,0.385,0.861,2.11,0.503,0.187,-0.127,0.289,-0.494,-0.24,-0.585,-0.078,-0.091,-0.599,-0.038,0.306,-0.038
400,0.244,0.546,0.685,0.694,-0.089,-0.29,0.578,1.13,0,-0.121,-0.254,0.312,0.145,0.639,1.093,1.999,0.481,0.266,-0.106,0.198,-0.67,-0.176,-0.559,-0.179,-0.005,-0.562,0.133,0.257,-0.149
401,0.051,0.072,0.338,0.317,-0.437,-0.413,0.22,1.108,0,-0.153,-0.214,0.084,-0.06,0.282,0.537,1.606,-0.021,0.028,-0.258,0.009,-0.638,-0.446,-0.617,-0.169,-0.24,-0.709,-0.164,0.074,-0.296
402,0.015,0.295,0.477,0.355,-0.418,-0.452,0.511,0.986,0,-0.179,-0.355,0.202,0.013,0.444,0.63,1.759,0.33,0.043,-0.212,0.024,-0.742,-0.431,-0.643,-0.196,-0.144,-0.63,0.044,0.179,-0.225
403,0.196,0.51,0.583,0.878,-0.322,-0.289,0.268,1.089,-0.111,0,-0.149,0.179,-0.027,0.441,0.871,1.595,0.523,0.071,-0.267,0.124,-0.624,-0.315,-0.51,-0.197,-0.071,-0.452,-0.167,0.045,-0.295
404,0.165,0.431,0.576,0.723,-0.166,-0.183,0.509,1.027,0,-0.143,-0.082,0.383,0.03,0.52,0.732,2.13,0.345,0.207,-0.158,0.086,-0.618,-0.174,-0.552,-0.067,-0.067,-0.635,-0.097,0.164,-0.155
405,0.085,0.244,0.288,0.495,-0.324,-0.392,0.34,1.118,0,-0.22,-0.242,0.043,-0.099,0.281,0.629,1.751,0.262,-0.003,-0.294,0.026,-0.662,-0.358,-0.593,-0.197,-0.155,-0.568,-0.272,0.105,-0.306
406,0.256,0.611,0.788,0.926,-0.227,-0.204,0.448,1.209,0,-0.029,-0.08,0.354,0.146,0.679,1.007,2.109,0.796,0.193,-0.007,0.053,-0.719,-0.188,-0.516,-0.105,0.046,-0.472,0.063,0.208,-0.231
407,-0.166,0.089,0.1,0.116,-0.44,-0.257,0.28,0.865,0,-0.352,-0.445,0.056,-0.267,-0.03,0.39,1.266,-0.019,-0.072,-0.262,-0.194,-0.78,-0.462,-0.677,-0.292,0.002,-0.667,-0.429,0.063,-0.278
408,0.113,0.405,0.465,0.543,-0.293,-0.293,0.478,1.174,-0.116,0,-0.174,0.086,0.019,0.43,0.824,1.902,0.424,0.109,-0.207,0.179,-0.728,-0.267,-0.657,-0.131,0.038,-0.565,-0.027,0.133,-0.16
409,-0.031,0.05,0.198,0.073,-0.45,-0.425,0.346,1.178,0,-0.252,-0.361,0.161,-0.116,0.123,0.632,1.156,0.119,-0.125,-0.335,-0.148,-0.709,-0.332,-0.677,-0.427,-0.245,-0.481,-0.242,-0.135,-0.362
410,0.252,0.474,0.446,0.892,-0.272,-0.278,0.452,0.547,0,-0.108,-0.052,0.263,0.149,0.501,0.655,2.132,0.532,0.102,-0.093,0.138,-0.501,-0.224,-0.415,0.065,-0.167,-0.441,0.002,0.229,-0.294
411,0.154,0.422,0.407,0.382,-0.285,-0.186,0.424,1.369,0,-0.18,-0.167,0.201,0.059,0.362,0.654,1.788,0.062,-0.006,-0.104,0.179,-0.693,-0.237,-0.522,-0.146,-0.007,-0.496,-0.039,0.35,-0.162
412,0.093,0.256,0.541,0.512,-0.254,-0.294,0.442,1.139,0,-0.096,-0.117,0.196,0.027,0.524,0.782,1.986,0.44,0.12,-0.048,0.192,-0.704,-0.257,-0.572,0.017,-0.033,-0.512,-0.144,0.204,-0.145
413,0.063,0.212,0.265,0.473,-0.288,-0.374,0.328,1.284,0,-0.187,-0.121,0.215,0.117,0.406,0.54,1.457,0.182,-0.05,-0.247,0.061,-0.632,-0.253,-0.597,-0.167,-0.047,-0.579,-0.24,0.064,-0.232
414,0.054,0.295,0.398,0.446,-0.273,-0.204,0.169,0.959,0,-0.144,-0.278,0.278,-0.023,0.374,0.649,1.466,0.385,-0.068,-0.255,-0.048,-0.684,-0.304,-0.642,-0.397,0.027,-0.539,-0.123,-0.084,-0.281
415,0.046,0.658,0.601,0.795,-0.285,-0.178,0.336,0,-0.06,0.14,-0.207,0.251,0.242,0.433,0.744,2.05,0.694,0.069,-0.159,0.151,-0.499,-0.159,-0.445,-0.135,0.037,-0.454,0.071,0.267,-0.11
416,0.124,0.309,0.584,0.482,-0.177,-0.163,0.575,1.757,0,-0.063,0.077,0.461,0.333,0.583,0.8,1.981,0.356,0.126,-0.144,0.221,-0.689,-0.163,-0.562,-0.115,0.075,-0.433,-0.043,0.383,-0.187
417,0.097,0.373,0.551,0.601,-0.224,0,0.466,1.265,-0.027,-0.029,-0.043,0.425,0.209,0.443,0.72,2.252,0.526,0.158,0.004,0.303,-0.42,-0.186,-0.617,-0.03,0.14,-0.406,-0.08,0.387,-0.031
418,0.093,0.631,0.552,0.804,-0.194,-0.057,0.503,1.15,-0.06,0,-0.123,0.522,0.052,0.557,0.887,1.668,0.664,0.173,-0.015,0.171,-0.609,-0.061,-0.496,-0.23,0.036,-0.499,-0.022,0.155,-0.133
419,-0.011,0.285,0.323,0.37,-0.374,-0.138,0.279,1.134,0,-0.272,-0.262,0.293,0.148,0.307,0.566,1.525,0.237,-0.038,-0.202,0.128,-0.705,-0.235,-0.625,-0.273,-0.132,-0.456,-0.173,0.259,-0.261
420,0.152,0.386,0.605,0.548,-0.248,0,0.54,1.445,-0.078,-0.144,-0.196,0.411,0.315,0.503,0.647,2.158,0.328,0.07,-0.213,0.282,-0.549,-0.278,-0.567,-0.11,0.077,-0.485,0.054,0.401,-0.044
421,0.031,0.298,0.498,0.463,-0.2,0,0.347,1.426,-0.035,-0.052,-0.084,0.446,0.081,0.526,0.752,1.694,0.349,0.176,-0.109,0.122,-0.621,-0.259,-0.594,-0.113,0.077,-0.425,0.023,0.185,-0.068
422,-0.02,0.268,0.295,-0.095,-0.439,-0.119,0.035,1.385,0,-0.243,-0.264,-0.005,-0.024,0.244,0.672,1.002,0.317,-0.103,-0.347,0.029,-0.707,-0.4,-0.616,-0.416,-0.107,-0.612,-0.292,-0.079,-0.265
423,0.034,0.352,0.507,0.681,-0.223,0,0.4,0.958,-0.063,-0.092,-0.089,0.09,0.284,0.564,0.724,1.527,0.569,0.176,-0.097,0.373,-0.725,-0.189,-0.445,-0.204,-0.079,-0.451,-0.15,0.222,-0.078
424,0.002,0.331,0.38,0.287,-0.246,-0.042,0.508,1.295,0,-0.122,-0.067,0.251,0.143,0.307,0.622,1.782,0.39,0.098,-0.099,0.132,-0.622,-0.246,-0.551,-0.15,0.061,-0.404,-0.067,0.138,-0.19
425,-0.054,0.198,0.259,0.349,-0.331,0,0.141,0.926,-0.181,-0.177,-0.083,0.188,0.077,0.06,0.359,1.48,0.037,-0.065,-0.262,0.046,-0.647,-0.385,-0.558,-0.381,-0.048,-0.412,-0.193,0.128,-0.273
426,0.038,0.364,0.482,0.431,-0.133,0,0.506,1.187,-0.062,-0.117,0.028,0.364,0.359,0.545,0.704,1.648,0.364,0.111,-0.032,0.345,-0.675,-0.124,-0.52,-0.198,0.111,-0.473,-0.101,0.266,-0.051
427,-0.045,0.305,0.422,0.128,-0.327,-0.138,0.004,0.991,0,-0.302,-0.292,0.204,0.115,0.278,0.71,1.481,0.32,-0.017,-0.317,0.212,-0.65,-0.362,-0.522,-0.631,-0.078,-0.546,-0.251,-0.097,-0.359
428,0.004,0.423,0.412,0.828,-0.032,-0.066,0.52,0.617,-0.122,0,-0.192,0.222,0.364,0.61,0.66,1.602,0.58,0.259,-0.072,0.552,-0.712,-0.186,-0.549,0.033,0.196,-0.457,-0.134,0.43,-0.381
429,0.071,0.445,0.557,0.416,-0.181,0,0.519,1.313,-0.069,-0.022,-0.06,0.349,0.223,0.647,0.728,1.856,0.349,0.387,-0.089,0.459,-0.589,-0.27,-0.579,0.03,0.227,-0.439,-0.173,0.298,-0.035
430,-0.036,0.134,0.166,0.216,-0.35,-0.043,0.434,1.126,0,-0.171,-0.236,0.232,0.116,0.302,0.772,1.232,0.248,0.031,-0.279,0.148,-0.714,-0.259,-0.493,-0.443,-0.129,-0.389,-0.043,0.006,-0.352
431,-0.023,0.384,0.344,0.746,-0.207,-0.204,0.382,0.133,-0.366,0,-0.175,0.05,0.252,0.364,0.621,1.514,0.577,0.149,-0.149,0.328,-0.508,-0.212,-0.443,0.063,0.128,-0.566,0.046,0.272,-0.07
432,0.006,0.365,0.319,0.431,-0.165,0,0.474,1.008,-0.102,-0.088,-0.208,0.177,0.349,0.514,0.655,1.657,0.281,0.167,-0.104,0.363,-0.574,-0.235,-0.501,-0.123,-0.009,-0.554,-0.145,0.285,0.022
433,0.081,0.339,0.385,0.444,-0.213,-0.069,0.519,1.018,-0.121,0,-0.165,0.445,0.239,0.526,0.59,1.611,0.327,0.354,-0.079,0.34,-0.694,-0.112,-0.479,-0.108,0.174,-0.358,0.079,0.345,-0.05
434,0.053,0.298,0.52,0.605,-0.348,-0.026,0.237,0.919,-0.067,0,-0.182,0.33,0.22,0.415,0.572,1.437,0.736,0.07,-0.134,0.247,-0.562,-0.379,-0.415,-0.197,0.013,-0.421,-0.087,0.094,-0.23
